index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.00746583104171306,0.00746583104171306,0.00746583104171306,0.0,0.00746583104171306,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9973883033299132,0.9973883033299132,0.9973883033299132,0.0,0.9973883033299132,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.019357357726158406,0.019357357726158406,0.019357357726158406,0.0,0.019357357726158406,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.7379235795363884,0.7379235795363884,0.7379235795363884,0.0,0.7379235795363884,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8549283149220055,0.8549283149220055,0.8549283149220055,0.0,0.8549283149220055,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.8502722909028291,0.8502722909028291,0.8502722909028291,0.0,0.8502722909028291,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.0002029393246903284,0.0002029393246903284,0.0002029393246903284,0.0,0.0002029393246903284,0.0,1,0,5.36,minimize,True
stats.wasserstein_dist.joint,0.29213410336233786,0.29213410336233786,0.29213410336233786,0.0,0.29213410336233786,0.0,1,0,1.42,minimize,True
stats.prdc.precision,0.6421042813170413,0.6421042813170413,0.6421042813170413,0.0,0.6421042813170413,0.0,1,0,4.66,maximize,True
stats.prdc.recall,0.9454341945714019,0.9454341945714019,0.9454341945714019,0.0,0.9454341945714019,0.0,1,0,4.66,maximize,True
stats.prdc.density,0.38634455741068935,0.38634455741068935,0.38634455741068935,0.0,0.38634455741068935,0.0,1,0,4.66,maximize,True
stats.prdc.coverage,0.41218169946833316,0.41218169946833316,0.41218169946833316,0.0,0.41218169946833316,0.0,1,0,4.66,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9721045922333116,0.9721045922333116,0.9721045922333116,0.0,0.9721045922333116,0.0,1,0,0.6,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.22040854397910636,0.22040854397910636,0.22040854397910636,0.0,0.22040854397910636,0.0,1,0,0.6,maximize,True
stats.alpha_precision.authenticity_OC,0.7598171812330939,0.7598171812330939,0.7598171812330939,0.0,0.7598171812330939,0.0,1,0,0.6,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6368847476271192,0.6368847476271192,0.6368847476271192,0.0,0.6368847476271192,0.0,1,0,0.6,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.002375400304697961,0.002375400304697961,0.002375400304697961,0.0,0.002375400304697961,0.0,1,0,0.6,maximize,True
stats.alpha_precision.authenticity_naive,0.9972950284488388,0.9972950284488388,0.9972950284488388,0.0,0.9972950284488388,0.0,1,0,0.6,maximize,True
privacy.delta-presence.score,61.5999998768,61.5999998768,61.5999998768,0.0,61.5999998768,0.0,1,0,0.46,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.92,maximize,True
privacy.k-anonymization.syn,67.00000001,67.00000001,67.00000001,0.0,67.00000001,0.0,1,0,0.92,maximize,True
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.49,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.95,maximize,True
privacy.distinct l-diversity.syn,67.00000001,67.00000001,67.00000001,0.0,67.00000001,0.0,1,0,0.95,maximize,True
privacy.identifiability_score.score,0.049622236731648166,0.049622236731648166,0.049622236731648166,0.0,0.049622236731648166,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.19886204645089078,0.19886204645089078,0.19886204645089078,0.0,0.19886204645089078,0.0,1,0,0.29,minimize,True
