index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.041374332289880494,0.041374332289880494,0.041374332289880494,0.0,0.041374332289880494,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.9952,0.9952,0.9952,0.0,0.9952,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.0023708512613548624,0.0023708512613548624,0.0023708512613548624,0.0,0.0023708512613548624,0.0,1,0,0.05,minimize,False
stats.chi_squared_test.marginal,0.997368775436477,0.997368775436477,0.997368775436477,0.0,0.997368775436477,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9948286640594147,0.9948286640594147,0.9948286640594147,0.0,0.9948286640594147,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9781846153846152,0.9781846153846152,0.9781846153846152,0.0,0.9781846153846152,0.0,1,0,0.1,maximize,False
stats.max_mean_discrepancy.joint,0.00013756201477133133,0.00013756201477133133,0.00013756201477133133,0.0,0.00013756201477133133,0.0,1,0,10.38,minimize,False
stats.wasserstein_dist.joint,0.02710639418110325,0.02710639418110325,0.02710639418110325,0.0,0.02710639418110325,0.0,1,0,3.85,minimize,False
stats.prdc.precision,0.7740666666666667,0.7740666666666667,0.7740666666666667,0.0,0.7740666666666667,0.0,1,0,9.23,maximize,False
stats.prdc.recall,0.9912,0.9912,0.9912,0.0,0.9912,0.0,1,0,9.23,maximize,False
stats.prdc.density,0.6651333333333334,0.6651333333333334,0.6651333333333334,0.0,0.6651333333333334,0.0,1,0,9.23,maximize,False
stats.prdc.coverage,0.9011333333333333,0.9011333333333333,0.9011333333333333,0.0,0.9011333333333333,0.0,1,0,9.23,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9927063601532568,0.9927063601532568,0.9927063601532568,0.0,0.9927063601532568,0.0,1,0,0.69,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.3947955555555557,0.3947955555555557,0.3947955555555557,0.0,0.3947955555555557,0.0,1,0,0.69,maximize,False
stats.alpha_precision.authenticity_OC,0.5894,0.5894,0.5894,0.0,0.5894,0.0,1,0,0.69,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9496444444444444,0.9496444444444444,0.9496444444444444,0.0,0.9496444444444444,0.0,1,0,0.69,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.3220577777777778,0.3220577777777778,0.3220577777777778,0.0,0.3220577777777778,0.0,1,0,0.69,maximize,False
stats.alpha_precision.authenticity_naive,0.6500666666666667,0.6500666666666667,0.6500666666666667,0.0,0.6500666666666667,0.0,1,0,0.69,maximize,False
privacy.delta-presence.score,1.198240165625268,1.198240165625268,1.198240165625268,0.0,1.198240165625268,0.0,1,0,0.47,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.95,maximize,False
privacy.k-anonymization.syn,60.00000001,60.00000001,60.00000001,0.0,60.00000001,0.0,1,0,0.95,maximize,False
privacy.k-map.score,59.0,59.0,59.0,0.0,59.0,0.0,1,0,0.49,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.98,maximize,False
privacy.distinct l-diversity.syn,60.00000001,60.00000001,60.00000001,0.0,60.00000001,0.0,1,0,0.98,maximize,False
privacy.identifiability_score.score,0.3086,0.3086,0.3086,0.0,0.3086,0.0,1,0,0.41,minimize,False
privacy.identifiability_score.score_OC,0.39266666666666666,0.39266666666666666,0.39266666666666666,0.0,0.39266666666666666,0.0,1,0,0.41,minimize,False
