index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.013802561583312912,0.013802561583312912,0.013802561583312912,0.0,0.013802561583312912,0.0,1,0,0.04,minimize,True
sanity.close_values_probability.score,0.998414327021733,0.998414327021733,0.998414327021733,0.0,0.998414327021733,0.0,1,0,0.04,maximize,True
stats.jensenshannon_dist.marginal,0.01606299991552423,0.01606299991552423,0.01606299991552423,0.0,0.01606299991552423,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.885165906228437,0.885165906228437,0.885165906228437,0.0,0.885165906228437,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9079128699145012,0.9079128699145012,0.9079128699145012,0.0,0.9079128699145012,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8784269550056324,0.8784269550056324,0.8784269550056324,0.0,0.8784269550056324,0.0,1,0,0.08,maximize,True
stats.max_mean_discrepancy.joint,0.00021086655938268187,0.00021086655938268187,0.00021086655938268187,0.0,0.00021086655938268187,0.0,1,0,5.31,minimize,True
stats.wasserstein_dist.joint,0.2765215236409223,0.2765215236409223,0.2765215236409223,0.0,0.2765215236409223,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.8436712993190933,0.8436712993190933,0.8436712993190933,0.0,0.8436712993190933,0.0,1,0,4.62,maximize,True
stats.prdc.recall,0.9438485215931349,0.9438485215931349,0.9438485215931349,0.0,0.9438485215931349,0.0,1,0,4.62,maximize,True
stats.prdc.density,0.7201753567764202,0.7201753567764202,0.7201753567764202,0.0,0.7201753567764202,0.0,1,0,4.62,maximize,True
stats.prdc.coverage,0.7974069583061282,0.7974069583061282,0.7974069583061282,0.0,0.7974069583061282,0.0,1,0,4.62,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9531635730497777,0.9531635730497777,0.9531635730497777,0.0,0.9531635730497777,0.0,1,0,0.49,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.2201784659391226,0.2201784659391226,0.2201784659391226,0.0,0.2201784659391226,0.0,1,0,0.49,maximize,True
stats.alpha_precision.authenticity_OC,0.7594440817087958,0.7594440817087958,0.7594440817087958,0.0,0.7594440817087958,0.0,1,0,0.49,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6885667510429097,0.6885667510429097,0.6885667510429097,0.0,0.6885667510429097,0.0,1,0,0.49,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0022696887728135273,0.0022696887728135273,0.0022696887728135273,0.0,0.0022696887728135273,0.0,1,0,0.49,maximize,True
stats.alpha_precision.authenticity_naive,0.9981345023785094,0.9981345023785094,0.9981345023785094,0.0,0.9981345023785094,0.0,1,0,0.49,maximize,True
privacy.delta-presence.score,2.897435897287311,2.897435897287311,2.897435897287311,0.0,2.897435897287311,0.0,1,0,0.47,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.92,maximize,True
privacy.k-anonymization.syn,15.00000001,15.00000001,15.00000001,0.0,15.00000001,0.0,1,0,0.92,maximize,True
privacy.k-map.score,15.0,15.0,15.0,0.0,15.0,0.0,1,0,0.48,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.97,maximize,True
privacy.distinct l-diversity.syn,15.00000001,15.00000001,15.00000001,0.0,15.00000001,0.0,1,0,0.97,maximize,True
privacy.identifiability_score.score,0.15474302770263967,0.15474302770263967,0.15474302770263967,0.0,0.15474302770263967,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.1975561981158474,0.1975561981158474,0.1975561981158474,0.0,0.1975561981158474,0.0,1,0,0.29,minimize,True
