index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.004878730868524852,0.004878730868524852,0.004878730868524852,0.0,0.004878730868524852,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.9984,0.9984,0.9984,0.0,0.9984,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.0072563387909141885,0.0072563387909141885,0.0072563387909141885,0.0,0.0072563387909141885,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.7531759681115524,0.7531759681115524,0.7531759681115524,0.0,0.7531759681115524,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9644611377791931,0.9644611377791931,0.9644611377791931,0.0,0.9644611377791931,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9465333333333332,0.9465333333333332,0.9465333333333332,0.0,0.9465333333333332,0.0,1,0,0.1,maximize,False
stats.max_mean_discrepancy.joint,0.000149870712613126,0.000149870712613126,0.000149870712613126,0.0,0.000149870712613126,0.0,1,0,10.29,minimize,False
stats.wasserstein_dist.joint,0.06748944292404384,0.06748944292404384,0.06748944292404384,0.0,0.06748944292404384,0.0,1,0,3.85,minimize,False
stats.prdc.precision,0.5976666666666667,0.5976666666666667,0.5976666666666667,0.0,0.5976666666666667,0.0,1,0,8.93,maximize,False
stats.prdc.recall,0.9710666666666666,0.9710666666666666,0.9710666666666666,0.0,0.9710666666666666,0.0,1,0,8.93,maximize,False
stats.prdc.density,0.31956000000000007,0.31956000000000007,0.31956000000000007,0.0,0.31956000000000007,0.0,1,0,8.93,maximize,False
stats.prdc.coverage,0.3558,0.3558,0.3558,0.0,0.3558,0.0,1,0,8.93,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9831975478927203,0.9831975478927203,0.9831975478927203,0.0,0.9831975478927203,0.0,1,0,0.97,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.2536400000000001,0.2536400000000001,0.2536400000000001,0.0,0.2536400000000001,0.0,1,0,0.97,maximize,False
stats.alpha_precision.authenticity_OC,0.7456666666666667,0.7456666666666667,0.7456666666666667,0.0,0.7456666666666667,0.0,1,0,0.97,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9472044444444444,0.9472044444444444,0.9472044444444444,0.0,0.9472044444444444,0.0,1,0,0.97,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.02893777777777773,0.02893777777777773,0.02893777777777773,0.0,0.02893777777777773,0.0,1,0,0.97,maximize,False
stats.alpha_precision.authenticity_naive,0.9319333333333333,0.9319333333333333,0.9319333333333333,0.0,0.9319333333333333,0.0,1,0,0.97,maximize,False
privacy.delta-presence.score,5.7499999928125,5.7499999928125,5.7499999928125,0.0,5.7499999928125,0.0,1,0,0.48,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.93,maximize,False
privacy.k-anonymization.syn,217.00000001,217.00000001,217.00000001,0.0,217.00000001,0.0,1,0,0.93,maximize,False
privacy.k-map.score,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.47,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.88,maximize,False
privacy.distinct l-diversity.syn,217.00000001,217.00000001,217.00000001,0.0,217.00000001,0.0,1,0,0.88,maximize,False
privacy.identifiability_score.score,0.049933333333333337,0.049933333333333337,0.049933333333333337,0.0,0.049933333333333337,0.0,1,0,0.44,minimize,False
privacy.identifiability_score.score_OC,0.2462,0.2462,0.2462,0.0,0.2462,0.0,1,0,0.44,minimize,False
