index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.010228405180328625,0.010228405180328625,0.010228405180328625,0.0,0.010228405180328625,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9875011659360134,0.9875011659360134,0.9875011659360134,0.0,0.9875011659360134,0.0,1,0,0.04,maximize,True
stats.jensenshannon_dist.marginal,0.018835096277159007,0.018835096277159007,0.018835096277159007,0.0,0.018835096277159007,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.7301343704169081,0.7301343704169081,0.7301343704169081,0.0,0.7301343704169081,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8674440513257398,0.8674440513257398,0.8674440513257398,0.0,0.8674440513257398,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8525395880120255,0.8525395880120255,0.8525395880120255,0.0,0.8525395880120255,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.00020293934390124834,0.00020293934390124834,0.00020293934390124834,0.0,0.00020293934390124834,0.0,1,0,5.27,minimize,True
stats.wasserstein_dist.joint,0.29740233138096334,0.29740233138096334,0.29740233138096334,0.0,0.29740233138096334,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.6659826508721202,0.6659826508721202,0.6659826508721202,0.0,0.6659826508721202,0.0,1,0,4.57,maximize,True
stats.prdc.recall,0.9291110903833598,0.9291110903833598,0.9291110903833598,0.0,0.9291110903833598,0.0,1,0,4.57,maximize,True
stats.prdc.density,0.3954108758511333,0.3954108758511333,0.3954108758511333,0.0,0.3954108758511333,0.0,1,0,4.57,maximize,True
stats.prdc.coverage,0.3918477753940864,0.3918477753940864,0.3918477753940864,0.0,0.3918477753940864,0.0,1,0,4.57,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9630631470944875,0.9630631470944875,0.9630631470944875,0.0,0.9630631470944875,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.22248546466436592,0.22248546466436592,0.22248546466436592,0.0,0.22248546466436592,0.0,1,0,0.63,maximize,True
stats.alpha_precision.authenticity_OC,0.7600970058763175,0.7600970058763175,0.7600970058763175,0.0,0.7600970058763175,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6536120429664843,0.6536120429664843,0.6536120429664843,0.0,0.6536120429664843,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0021764138917388376,0.0021764138917388376,0.0021764138917388376,0.0,0.0021764138917388376,0.0,1,0,0.63,maximize,True
stats.alpha_precision.authenticity_naive,0.9976681279731369,0.9976681279731369,0.9976681279731369,0.0,0.9976681279731369,0.0,1,0,0.63,maximize,True
privacy.delta-presence.score,42.7999999144,42.7999999144,42.7999999144,0.0,42.7999999144,0.0,1,0,0.46,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.89,maximize,True
privacy.k-anonymization.syn,74.00000001,74.00000001,74.00000001,0.0,74.00000001,0.0,1,0,0.89,maximize,True
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.46,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.99,maximize,True
privacy.distinct l-diversity.syn,74.00000001,74.00000001,74.00000001,0.0,74.00000001,0.0,1,0,0.99,maximize,True
privacy.identifiability_score.score,0.0458912414886671,0.0458912414886671,0.0458912414886671,0.0,0.0458912414886671,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.20128719335882847,0.20128719335882847,0.20128719335882847,0.0,0.20128719335882847,0.0,1,0,0.29,minimize,True
