index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.021221437184686897,0.021221437184686897,0.021221437184686897,0.0,0.021221437184686897,0.0,1,0,0.07,minimize,False
sanity.close_values_probability.score,0.9978666666666667,0.9978666666666667,0.9978666666666667,0.0,0.9978666666666667,0.0,1,0,0.07,maximize,False
stats.jensenshannon_dist.marginal,0.0025126435918844995,0.0025126435918844995,0.0025126435918844995,0.0,0.0025126435918844995,0.0,1,0,0.05,minimize,False
stats.chi_squared_test.marginal,0.992270883383908,0.992270883383908,0.992270883383908,0.0,0.992270883383908,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9968792994422244,0.9968792994422244,0.9968792994422244,0.0,0.9968792994422244,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9814564102564103,0.9814564102564103,0.9814564102564103,0.0,0.9814564102564103,0.0,1,0,0.09,maximize,False
stats.max_mean_discrepancy.joint,0.00014991940771862604,0.00014991940771862604,0.00014991940771862604,0.0,0.00014991940771862604,0.0,1,0,10.34,minimize,False
stats.wasserstein_dist.joint,0.03895161163721465,0.03895161163721465,0.03895161163721465,0.0,0.03895161163721465,0.0,1,0,3.85,minimize,False
stats.prdc.precision,0.6215333333333334,0.6215333333333334,0.6215333333333334,0.0,0.6215333333333334,0.0,1,0,9.2,maximize,False
stats.prdc.recall,0.9748,0.9748,0.9748,0.0,0.9748,0.0,1,0,9.2,maximize,False
stats.prdc.density,0.35986666666666667,0.35986666666666667,0.35986666666666667,0.0,0.35986666666666667,0.0,1,0,9.2,maximize,False
stats.prdc.coverage,0.44766666666666666,0.44766666666666666,0.44766666666666666,0.0,0.44766666666666666,0.0,1,0,9.2,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9919383908045977,0.9919383908045977,0.9919383908045977,0.0,0.9919383908045977,0.0,1,0,0.82,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.2766355555555555,0.2766355555555555,0.2766355555555555,0.0,0.2766355555555555,0.0,1,0,0.82,maximize,False
stats.alpha_precision.authenticity_OC,0.7311333333333333,0.7311333333333333,0.7311333333333333,0.0,0.7311333333333333,0.0,1,0,0.82,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9498177777777778,0.9498177777777778,0.9498177777777778,0.0,0.9498177777777778,0.0,1,0,0.82,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.03902222222222218,0.03902222222222218,0.03902222222222218,0.0,0.03902222222222218,0.0,1,0,0.82,maximize,False
stats.alpha_precision.authenticity_naive,0.9068,0.9068,0.9068,0.0,0.9068,0.0,1,0,0.82,maximize,False
privacy.delta-presence.score,1.3838383837917898,1.3838383837917898,1.3838383837917898,0.0,1.3838383837917898,0.0,1,0,0.48,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.92,maximize,False
privacy.k-anonymization.syn,50.00000001,50.00000001,50.00000001,0.0,50.00000001,0.0,1,0,0.92,maximize,False
privacy.k-map.score,50.0,50.0,50.0,0.0,50.0,0.0,1,0,0.48,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.95,maximize,False
privacy.distinct l-diversity.syn,50.00000001,50.00000001,50.00000001,0.0,50.00000001,0.0,1,0,0.95,maximize,False
privacy.identifiability_score.score,0.058666666666666666,0.058666666666666666,0.058666666666666666,0.0,0.058666666666666666,0.0,1,0,0.44,minimize,False
privacy.identifiability_score.score_OC,0.2694666666666667,0.2694666666666667,0.2694666666666667,0.0,0.2694666666666667,0.0,1,0,0.44,minimize,False
