index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.02089753105936944,0.02089753105936944,0.02089753105936944,0.0,0.02089753105936944,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.996269004757019,0.996269004757019,0.996269004757019,0.0,0.996269004757019,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.016065793366957213,0.016065793366957213,0.016065793366957213,0.0,0.016065793366957213,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.8852485397248804,0.8852485397248804,0.8852485397248804,0.0,0.8852485397248804,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9078781286707341,0.9078781286707341,0.9078781286707341,0.0,0.9078781286707341,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.8807516520416436,0.8807516520416436,0.8807516520416436,0.0,0.8807516520416436,0.0,1,0,0.08,maximize,True
stats.max_mean_discrepancy.joint,0.00021138479292290996,0.00021138479292290996,0.00021138479292290996,0.0,0.00021138479292290996,0.0,1,0,5.31,minimize,True
stats.wasserstein_dist.joint,0.3104604238486722,0.3104604238486722,0.3104604238486722,0.0,0.3104604238486722,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.700494356869695,0.700494356869695,0.700494356869695,0.0,0.700494356869695,0.0,1,0,4.59,maximize,True
stats.prdc.recall,0.9412368249230483,0.9412368249230483,0.9412368249230483,0.0,0.9412368249230483,0.0,1,0,4.59,maximize,True
stats.prdc.density,0.44368995429530833,0.44368995429530833,0.44368995429530833,0.0,0.44368995429530833,0.0,1,0,4.59,maximize,True
stats.prdc.coverage,0.5232720828280943,0.5232720828280943,0.5232720828280943,0.0,0.5232720828280943,0.0,1,0,4.59,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9467711345334701,0.9467711345334701,0.9467711345334701,0.0,0.9467711345334701,0.0,1,0,0.58,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.22392189783291372,0.22392189783291372,0.22392189783291372,0.0,0.22392189783291372,0.0,1,0,0.58,maximize,True
stats.alpha_precision.authenticity_OC,0.7486241955041507,0.7486241955041507,0.7486241955041507,0.0,0.7486241955041507,0.0,1,0,0.58,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6789718749430435,0.6789718749430435,0.6789718749430435,0.0,0.6789718749430435,0.0,1,0,0.58,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0023816186301028885,0.0023816186301028885,0.0023816186301028885,0.0,0.0023816186301028885,0.0,1,0,0.58,maximize,True
stats.alpha_precision.authenticity_naive,0.9981345023785094,0.9981345023785094,0.9981345023785094,0.0,0.9981345023785094,0.0,1,0,0.58,maximize,True
privacy.delta-presence.score,4.529411764039793,4.529411764039793,4.529411764039793,0.0,4.529411764039793,0.0,1,0,0.47,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.92,maximize,True
privacy.k-anonymization.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.92,maximize,True
privacy.k-map.score,17.0,17.0,17.0,0.0,17.0,0.0,1,0,0.48,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.96,maximize,True
privacy.distinct l-diversity.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.96,maximize,True
privacy.identifiability_score.score,0.06389329353605074,0.06389329353605074,0.06389329353605074,0.0,0.06389329353605074,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.20305941609924447,0.20305941609924447,0.20305941609924447,0.0,0.20305941609924447,0.0,1,0,0.29,minimize,True
