index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.025631007374388528,0.025631007374388528,0.025631007374388528,0.0,0.025631007374388528,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.9958666666666667,0.9958666666666667,0.9958666666666667,0.0,0.9958666666666667,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.008248589085042649,0.008248589085042649,0.008248589085042649,0.0,0.008248589085042649,0.0,1,0,0.28,minimize,False
stats.chi_squared_test.marginal,0.7534841418739191,0.7534841418739191,0.7534841418739191,0.0,0.7534841418739191,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9240295261527198,0.9240295261527198,0.9240295261527198,0.0,0.9240295261527198,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9218564102564102,0.9218564102564102,0.9218564102564102,0.0,0.9218564102564102,0.0,1,0,0.09,maximize,False
stats.max_mean_discrepancy.joint,0.0001498707131379477,0.0001498707131379477,0.0001498707131379477,0.0,0.0001498707131379477,0.0,1,0,10.29,minimize,False
stats.wasserstein_dist.joint,0.08948827120111058,0.08948827120111058,0.08948827120111058,0.0,0.08948827120111058,0.0,1,0,3.85,minimize,False
stats.prdc.precision,0.49,0.49,0.49,0.0,0.49,0.0,1,0,9.1,maximize,False
stats.prdc.recall,0.5248666666666667,0.5248666666666667,0.5248666666666667,0.0,0.5248666666666667,0.0,1,0,9.1,maximize,False
stats.prdc.density,0.27116,0.27116,0.27116,0.0,0.27116,0.0,1,0,9.1,maximize,False
stats.prdc.coverage,0.15166666666666667,0.15166666666666667,0.15166666666666667,0.0,0.15166666666666667,0.0,1,0,9.1,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9821344061302681,0.9821344061302681,0.9821344061302681,0.0,0.9821344061302681,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.22606222222222228,0.22606222222222228,0.22606222222222228,0.0,0.22606222222222228,0.0,1,0,0.98,maximize,False
stats.alpha_precision.authenticity_OC,0.7726666666666666,0.7726666666666666,0.7726666666666666,0.0,0.7726666666666666,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8795466666666667,0.8795466666666667,0.8795466666666667,0.0,0.8795466666666667,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.022213333333333196,0.022213333333333196,0.022213333333333196,0.0,0.022213333333333196,0.0,1,0,0.98,maximize,False
stats.alpha_precision.authenticity_naive,0.9377333333333333,0.9377333333333333,0.9377333333333333,0.0,0.9377333333333333,0.0,1,0,0.98,maximize,False
privacy.delta-presence.score,130.1999997396,130.1999997396,130.1999997396,0.0,130.1999997396,0.0,1,0,0.53,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.91,maximize,False
privacy.k-anonymization.syn,36.00000001,36.00000001,36.00000001,0.0,36.00000001,0.0,1,0,0.91,maximize,False
privacy.k-map.score,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.47,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.96,maximize,False
privacy.distinct l-diversity.syn,36.00000001,36.00000001,36.00000001,0.0,36.00000001,0.0,1,0,0.96,maximize,False
privacy.identifiability_score.score,0.021,0.021,0.021,0.0,0.021,0.0,1,0,0.45,minimize,False
privacy.identifiability_score.score_OC,0.22106666666666666,0.22106666666666666,0.22106666666666666,0.0,0.22106666666666666,0.0,1,0,0.45,minimize,False
