index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.041156328332731994,0.041156328332731994,0.041156328332731994,0.0,0.041156328332731994,0.0,1,0,0.04,minimize,True
sanity.close_values_probability.score,0.933215185150639,0.933215185150639,0.933215185150639,0.0,0.933215185150639,0.0,1,0,0.04,maximize,True
stats.jensenshannon_dist.marginal,0.02309985129452531,0.02309985129452531,0.02309985129452531,0.0,0.02309985129452531,0.0,1,0,0.21,minimize,True
stats.chi_squared_test.marginal,0.6100900552446391,0.6100900552446391,0.6100900552446391,0.0,0.6100900552446391,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.7689694625137395,0.7689694625137395,0.7689694625137395,0.0,0.7689694625137395,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8253176727199674,0.8253176727199674,0.8253176727199674,0.0,0.8253176727199674,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.00020293932520837403,0.00020293932520837403,0.00020293932520837403,0.0,0.00020293932520837403,0.0,1,0,5.35,minimize,True
stats.wasserstein_dist.joint,0.34444581318005807,0.34444581318005807,0.34444581318005807,0.0,0.34444581318005807,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.5722413953922209,0.5722413953922209,0.5722413953922209,0.0,0.5722413953922209,0.0,1,0,4.5,maximize,True
stats.prdc.recall,0.5118925473370022,0.5118925473370022,0.5118925473370022,0.0,0.5118925473370022,0.0,1,0,4.5,maximize,True
stats.prdc.density,0.3214065852066039,0.3214065852066039,0.3214065852066039,0.0,0.3214065852066039,0.0,1,0,4.5,maximize,True
stats.prdc.coverage,0.14942635948139166,0.14942635948139166,0.14942635948139166,0.0,0.14942635948139166,0.0,1,0,4.5,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9856839139426649,0.9856839139426649,0.9856839139426649,0.0,0.9856839139426649,0.0,1,0,0.68,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.15218729596119762,0.15218729596119762,0.15218729596119762,0.0,0.15218729596119762,0.0,1,0,0.68,maximize,True
stats.alpha_precision.authenticity_OC,0.8325715884712247,0.8325715884712247,0.8325715884712247,0.0,0.8325715884712247,0.0,1,0,0.68,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.7260516742841154,0.7260516742841154,0.7260516742841154,0.0,0.7260516742841154,0.0,1,0,0.68,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0017100394863664992,0.0017100394863664992,0.0017100394863664992,0.0,0.0017100394863664992,0.0,1,0,0.68,maximize,True
stats.alpha_precision.authenticity_naive,0.9991605260703292,0.9991605260703292,0.9991605260703292,0.0,0.9991605260703292,0.0,1,0,0.68,maximize,True
privacy.delta-presence.score,1115.9999888400002,1115.9999888400002,1115.9999888400002,0.0,1115.9999888400002,0.0,1,0,0.49,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.89,maximize,True
privacy.k-anonymization.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.89,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.47,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.94,maximize,True
privacy.distinct l-diversity.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.94,maximize,True
privacy.identifiability_score.score,0.020893573360693966,0.020893573360693966,0.020893573360693966,0.0,0.020893573360693966,0.0,1,0,0.3,minimize,True
privacy.identifiability_score.score_OC,0.13179740695830613,0.13179740695830613,0.13179740695830613,0.0,0.13179740695830613,0.0,1,0,0.3,minimize,True
