index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.291991651930166,0.291991651930166,0.291991651930166,0.0,0.291991651930166,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.26426666666666665,0.26426666666666665,0.26426666666666665,0.0,0.26426666666666665,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.0815003647210866,0.0815003647210866,0.0815003647210866,0.0,0.0815003647210866,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.48484100575269234,0.48484100575269234,0.48484100575269234,0.0,0.48484100575269234,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.5858024992794101,0.5858024992794101,0.5858024992794101,0.0,0.5858024992794101,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.44976410256410254,0.44976410256410254,0.44976410256410254,0.0,0.44976410256410254,0.0,1,0,0.04,maximize,False
stats.max_mean_discrepancy.joint,0.0001519307512347175,0.0001519307512347175,0.0001519307512347175,0.0,0.0001519307512347175,0.0,1,0,10.47,minimize,False
stats.wasserstein_dist.joint,1.5455771777699625,1.5455771777699625,1.5455771777699625,0.0,1.5455771777699625,0.0,1,0,3.78,minimize,False
stats.prdc.precision,0.7985333333333333,0.7985333333333333,0.7985333333333333,0.0,0.7985333333333333,0.0,1,0,9.37,maximize,False
stats.prdc.recall,0.9544,0.9544,0.9544,0.0,0.9544,0.0,1,0,9.37,maximize,False
stats.prdc.density,0.5811733333333334,0.5811733333333334,0.5811733333333334,0.0,0.5811733333333334,0.0,1,0,9.37,maximize,False
stats.prdc.coverage,0.09786666666666667,0.09786666666666667,0.09786666666666667,0.0,0.09786666666666667,0.0,1,0,9.37,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.7423911111111112,0.7423911111111112,0.7423911111111112,0.0,0.7423911111111112,0.0,1,0,1.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.08047555555555563,0.08047555555555563,0.08047555555555563,0.0,0.08047555555555563,0.0,1,0,1.11,maximize,False
stats.alpha_precision.authenticity_OC,0.945,0.945,0.945,0.0,0.945,0.0,1,0,1.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.06539111111111118,0.06539111111111118,0.06539111111111118,0.0,0.06539111111111118,0.0,1,0,1.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.008728888888888786,0.008728888888888786,0.008728888888888786,0.0,0.008728888888888786,0.0,1,0,1.11,maximize,False
stats.alpha_precision.authenticity_naive,0.9996666666666667,0.9996666666666667,0.9996666666666667,0.0,0.9996666666666667,0.0,1,0,1.11,maximize,False
privacy.delta-presence.score,39.23728812894283,39.23728812894283,39.23728812894283,0.0,39.23728812894283,0.0,1,0,0.47,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.92,maximize,False
privacy.k-anonymization.syn,110.00000001,110.00000001,110.00000001,0.0,110.00000001,0.0,1,0,0.92,maximize,False
privacy.k-map.score,59.0,59.0,59.0,0.0,59.0,0.0,1,0,0.47,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.98,maximize,False
privacy.distinct l-diversity.syn,110.00000001,110.00000001,110.00000001,0.0,110.00000001,0.0,1,0,0.98,maximize,False
privacy.identifiability_score.score,0.0284,0.0284,0.0284,0.0,0.0284,0.0,1,0,0.44,minimize,False
privacy.identifiability_score.score_OC,0.05993333333333333,0.05993333333333333,0.05993333333333333,0.0,0.05993333333333333,0.0,1,0,0.44,minimize,False
