index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.032489401979186996,0.032489401979186996,0.032489401979186996,0.0,0.032489401979186996,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9991605260703292,0.9991605260703292,0.9991605260703292,0.0,0.9991605260703292,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.08513055085532771,0.08513055085532771,0.08513055085532771,0.0,0.08513055085532771,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.44137366632927005,0.44137366632927005,0.44137366632927005,0.0,0.44137366632927005,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.5695958761943141,0.5695958761943141,0.5695958761943141,0.0,0.5695958761943141,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.44291936027781564,0.44291936027781564,0.44291936027781564,0.0,0.44291936027781564,0.0,1,0,0.03,maximize,True
stats.max_mean_discrepancy.joint,0.00020295200963665915,0.00020295200963665915,0.00020295200963665915,0.0,0.00020295200963665915,0.0,1,0,5.34,minimize,True
stats.wasserstein_dist.joint,1.8717708150502697,1.8717708150502697,1.8717708150502697,0.0,1.8717708150502697,0.0,1,0,1.39,minimize,True
stats.prdc.precision,0.25445387557130866,0.25445387557130866,0.25445387557130866,0.0,0.25445387557130866,0.0,1,0,4.68,maximize,True
stats.prdc.recall,0.8144762615427665,0.8144762615427665,0.8144762615427665,0.0,0.8144762615427665,0.0,1,0,4.68,maximize,True
stats.prdc.density,0.12263781363678761,0.12263781363678761,0.12263781363678761,0.0,0.12263781363678761,0.0,1,0,4.68,maximize,True
stats.prdc.coverage,0.13142430743400801,0.13142430743400801,0.13142430743400801,0.0,0.13142430743400801,0.0,1,0,4.68,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9533312534106979,0.9533312534106979,0.9533312534106979,0.0,0.9533312534106979,0.0,1,0,0.54,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.0686503124708514,0.0686503124708514,0.0686503124708514,0.0,0.0686503124708514,0.0,1,0,0.54,maximize,True
stats.alpha_precision.authenticity_OC,0.8992631284395113,0.8992631284395113,0.8992631284395113,0.0,0.8992631284395113,0.0,1,0,0.54,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.05020054099431026,0.05020054099431026,0.05020054099431026,0.0,0.05020054099431026,0.0,1,0,0.54,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.001660292883126635,0.001660292883126635,0.001660292883126635,0.0,0.001660292883126635,0.0,1,0,0.54,maximize,True
stats.alpha_precision.authenticity_naive,0.9995336255946273,0.9995336255946273,0.9995336255946273,0.0,0.9995336255946273,0.0,1,0,0.54,maximize,True
privacy.delta-presence.score,7.314285713867755,7.314285713867755,7.314285713867755,0.0,7.314285713867755,0.0,1,0,0.48,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.9,maximize,True
privacy.k-anonymization.syn,74.00000001,74.00000001,74.00000001,0.0,74.00000001,0.0,1,0,0.9,maximize,True
privacy.k-map.score,74.0,74.0,74.0,0.0,74.0,0.0,1,0,0.47,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.95,maximize,True
privacy.distinct l-diversity.syn,74.00000001,74.00000001,74.00000001,0.0,74.00000001,0.0,1,0,0.95,maximize,True
privacy.identifiability_score.score,0.02191959705251376,0.02191959705251376,0.02191959705251376,0.0,0.02191959705251376,0.0,1,0,0.32,minimize,True
privacy.identifiability_score.score_OC,0.07088890961664024,0.07088890961664024,0.07088890961664024,0.0,0.07088890961664024,0.0,1,0,0.32,minimize,True
