index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.9269333333327153,0.9269333333327153,0.9269333333327153,0.0,0.9269333333327153,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.00043322892363401646,0.00043322892363401646,0.00043322892363401646,0.0,0.00043322892363401646,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.9978374342369627,0.9978374342369627,0.9978374342369627,0.0,0.9978374342369627,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9999571330029672,0.9999571330029672,0.9999571330029672,0.0,0.9999571330029672,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9973435897435898,0.9973435897435898,0.9973435897435898,0.0,0.9973435897435898,0.0,1,0,0.1,maximize,False
stats.max_mean_discrepancy.joint,8.988852562305505e-06,8.988852562305505e-06,8.988852562305505e-06,0.0,8.988852562305505e-06,0.0,1,0,10.41,minimize,False
stats.wasserstein_dist.joint,0.00044283293180040137,0.00044283293180040137,0.00044283293180040137,0.0,0.00044283293180040137,0.0,1,0,3.86,minimize,False
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,9.23,maximize,False
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,9.23,maximize,False
stats.prdc.density,0.9710800000000002,0.9710800000000002,0.9710800000000002,0.0,0.9710800000000002,0.0,1,0,9.23,maximize,False
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,9.23,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.998351724137931,0.998351724137931,0.998351724137931,0.0,0.998351724137931,0.0,1,0,0.54,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.9999452873563218,0.9999452873563218,0.9999452873563218,0.0,0.9999452873563218,0.0,1,0,0.54,maximize,False
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.54,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9910711111111111,0.9910711111111111,0.9910711111111111,0.0,0.9910711111111111,0.0,1,0,0.54,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.9999468199233716,0.9999468199233716,0.9999468199233716,0.0,0.9999468199233716,0.0,1,0,0.54,maximize,False
stats.alpha_precision.authenticity_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.54,maximize,False
privacy.delta-presence.score,1.0454545452169421,1.0454545452169421,1.0454545452169421,0.0,1.0454545452169421,0.0,1,0,0.48,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.94,maximize,False
privacy.k-anonymization.syn,44.00000001,44.00000001,44.00000001,0.0,44.00000001,0.0,1,0,0.94,maximize,False
privacy.k-map.score,44.0,44.0,44.0,0.0,44.0,0.0,1,0,0.47,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.95,maximize,False
privacy.distinct l-diversity.syn,44.00000001,44.00000001,44.00000001,0.0,44.00000001,0.0,1,0,0.95,maximize,False
privacy.identifiability_score.score,0.8578666666666667,0.8578666666666667,0.8578666666666667,0.0,0.8578666666666667,0.0,1,0,0.33,minimize,False
privacy.identifiability_score.score_OC,0.8578666666666667,0.8578666666666667,0.8578666666666667,0.0,0.8578666666666667,0.0,1,0,0.33,minimize,False
