index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.01032225800937626,0.01032225800937626,0.01032225800937626,0.0,0.01032225800937626,0.0,1,0,0.04,minimize,True
sanity.close_values_probability.score,0.9951497061841246,0.9951497061841246,0.9951497061841246,0.0,0.9951497061841246,0.0,1,0,0.04,maximize,True
stats.jensenshannon_dist.marginal,0.015006306072114601,0.015006306072114601,0.015006306072114601,0.0,0.015006306072114601,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.8109457509470867,0.8109457509470867,0.8109457509470867,0.0,0.8109457509470867,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9081944557932926,0.9081944557932926,0.9081944557932926,0.0,0.9081944557932926,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8876826932045663,0.8876826932045663,0.8876826932045663,0.0,0.8876826932045663,0.0,1,0,0.05,maximize,True
stats.max_mean_discrepancy.joint,0.00022711753715448546,0.00022711753715448546,0.00022711753715448546,0.0,0.00022711753715448546,0.0,1,0,5.36,minimize,True
stats.wasserstein_dist.joint,0.2962048729776949,0.2962048729776949,0.2962048729776949,0.0,0.2962048729776949,0.0,1,0,1.42,minimize,True
stats.prdc.precision,0.9942169573733793,0.9942169573733793,0.9942169573733793,0.0,0.9942169573733793,0.0,1,0,4.48,maximize,True
stats.prdc.recall,0.7943288872306687,0.7943288872306687,0.7943288872306687,0.0,0.7943288872306687,0.0,1,0,4.48,maximize,True
stats.prdc.density,0.9253427851879489,0.9253427851879489,0.9253427851879489,0.0,0.9253427851879489,0.0,1,0,4.48,maximize,True
stats.prdc.coverage,0.781083854118086,0.781083854118086,0.781083854118086,0.0,0.781083854118086,0.0,1,0,4.48,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9404346609458073,0.9404346609458073,0.9404346609458073,0.0,0.9404346609458073,0.0,1,0,0.55,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.20298479619438503,0.20298479619438503,0.20298479619438503,0.0,0.20298479619438503,0.0,1,0,0.55,maximize,True
stats.alpha_precision.authenticity_OC,0.7692379442216212,0.7692379442216212,0.7692379442216212,0.0,0.7692379442216212,0.0,1,0,0.55,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6439674202633783,0.6439674202633783,0.6439674202633783,0.0,0.6439674202633783,0.0,1,0,0.55,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.001647856232316558,0.001647856232316558,0.001647856232316558,0.0,0.001647856232316558,0.0,1,0,0.55,maximize,True
stats.alpha_precision.authenticity_naive,0.9979479526163604,0.9979479526163604,0.9979479526163604,0.0,0.9979479526163604,0.0,1,0,0.55,maximize,True
privacy.delta-presence.score,5.499999999017857,5.499999999017857,5.499999999017857,0.0,5.499999999017857,0.0,1,0,0.47,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.91,maximize,True
privacy.k-anonymization.syn,11.00000001,11.00000001,11.00000001,0.0,11.00000001,0.0,1,0,0.91,maximize,True
privacy.k-map.score,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.48,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.85,maximize,True
privacy.distinct l-diversity.syn,11.00000001,11.00000001,11.00000001,0.0,11.00000001,0.0,1,0,0.85,maximize,True
privacy.identifiability_score.score,0.2199421695737338,0.2199421695737338,0.2199421695737338,0.0,0.2199421695737338,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.18337841619251935,0.18337841619251935,0.18337841619251935,0.0,0.18337841619251935,0.0,1,0,0.29,minimize,True
