index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.026872451423766968,0.026872451423766968,0.026872451423766968,0.0,0.026872451423766968,0.0,1,0,0.07,minimize,False
sanity.close_values_probability.score,0.9986,0.9986,0.9986,0.0,0.9986,0.0,1,0,0.07,maximize,False
stats.jensenshannon_dist.marginal,0.01837981847744321,0.01837981847744321,0.01837981847744321,0.0,0.01837981847744321,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.9684955986061639,0.9684955986061639,0.9684955986061639,0.0,0.9684955986061639,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9479472628935173,0.9479472628935173,0.9479472628935173,0.0,0.9479472628935173,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.8767948717948717,0.8767948717948717,0.8767948717948717,0.0,0.8767948717948717,0.0,1,0,0.09,maximize,False
stats.max_mean_discrepancy.joint,0.00014987079577481537,0.00014987079577481537,0.00014987079577481537,0.0,0.00014987079577481537,0.0,1,0,10.41,minimize,False
stats.wasserstein_dist.joint,0.23465193930500655,0.23465193930500655,0.23465193930500655,0.0,0.23465193930500655,0.0,1,0,3.83,minimize,False
stats.prdc.precision,0.5054666666666666,0.5054666666666666,0.5054666666666666,0.0,0.5054666666666666,0.0,1,0,8.65,maximize,False
stats.prdc.recall,0.9711333333333333,0.9711333333333333,0.9711333333333333,0.0,0.9711333333333333,0.0,1,0,8.65,maximize,False
stats.prdc.density,0.27,0.27,0.27,0.0,0.27,0.0,1,0,8.65,maximize,False
stats.prdc.coverage,0.3107333333333333,0.3107333333333333,0.3107333333333333,0.0,0.3107333333333333,0.0,1,0,8.65,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9905538697318008,0.9905538697318008,0.9905538697318008,0.0,0.9905538697318008,0.0,1,0,0.94,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.2167688888888889,0.2167688888888889,0.2167688888888889,0.0,0.2167688888888889,0.0,1,0,0.94,maximize,False
stats.alpha_precision.authenticity_OC,0.7914,0.7914,0.7914,0.0,0.7914,0.0,1,0,0.94,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.7196711111111112,0.7196711111111112,0.7196711111111112,0.0,0.7196711111111112,0.0,1,0,0.94,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.043724444444444455,0.043724444444444455,0.043724444444444455,0.0,0.043724444444444455,0.0,1,0,0.94,maximize,False
stats.alpha_precision.authenticity_naive,0.9418666666666666,0.9418666666666666,0.9418666666666666,0.0,0.9418666666666666,0.0,1,0,0.94,maximize,False
privacy.delta-presence.score,5.425742573720224,5.425742573720224,5.425742573720224,0.0,5.425742573720224,0.0,1,0,0.48,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.92,maximize,False
privacy.k-anonymization.syn,35.00000001,35.00000001,35.00000001,0.0,35.00000001,0.0,1,0,0.92,maximize,False
privacy.k-map.score,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.48,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.97,maximize,False
privacy.distinct l-diversity.syn,35.00000001,35.00000001,35.00000001,0.0,35.00000001,0.0,1,0,0.97,maximize,False
privacy.identifiability_score.score,0.0474,0.0474,0.0474,0.0,0.0474,0.0,1,0,0.45,minimize,False
privacy.identifiability_score.score_OC,0.2056,0.2056,0.2056,0.0,0.2056,0.0,1,0,0.45,minimize,False
