index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.019893463483163894,0.019893463483163894,0.019893463483163894,0.0,0.019893463483163894,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9988807014271057,0.9988807014271057,0.9988807014271057,0.0,0.9988807014271057,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.023448801076532053,0.023448801076532053,0.023448801076532053,0.0,0.023448801076532053,0.0,1,0,0.06,minimize,True
stats.chi_squared_test.marginal,0.8086610073046626,0.8086610073046626,0.8086610073046626,0.0,0.8086610073046626,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8724812263480904,0.8724812263480904,0.8724812263480904,0.0,0.8724812263480904,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.8170162083043344,0.8170162083043344,0.8170162083043344,0.0,0.8170162083043344,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.00020295643416140348,0.00020295643416140348,0.00020295643416140348,0.0,0.00020295643416140348,0.0,1,0,5.35,minimize,True
stats.wasserstein_dist.joint,0.3161086620065173,0.3161086620065173,0.3161086620065173,0.0,0.3161086620065173,0.0,1,0,1.42,minimize,True
stats.prdc.precision,0.574573267419084,0.574573267419084,0.574573267419084,0.0,0.574573267419084,0.0,1,0,4.43,maximize,True
stats.prdc.recall,0.970245312937226,0.970245312937226,0.970245312937226,0.0,0.970245312937226,0.0,1,0,4.43,maximize,True
stats.prdc.density,0.331424307434008,0.331424307434008,0.331424307434008,0.0,0.331424307434008,0.0,1,0,4.43,maximize,True
stats.prdc.coverage,0.4068650312470852,0.4068650312470852,0.4068650312470852,0.0,0.4068650312470852,0.0,1,0,4.43,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9346640549699966,0.9346640549699966,0.9346640549699966,0.0,0.9346640549699966,0.0,1,0,0.59,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.2376706153032988,0.2376706153032988,0.2376706153032988,0.0,0.2376706153032988,0.0,1,0,0.59,maximize,True
stats.alpha_precision.authenticity_OC,0.7658800485029381,0.7658800485029381,0.7658800485029381,0.0,0.7658800485029381,0.0,1,0,0.59,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.5053633056617852,0.5053633056617852,0.5053633056617852,0.0,0.5053633056617852,0.0,1,0,0.59,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.003345459067873091,0.003345459067873091,0.003345459067873091,0.0,0.003345459067873091,0.0,1,0,0.59,maximize,True
stats.alpha_precision.authenticity_naive,0.9972950284488388,0.9972950284488388,0.9972950284488388,0.0,0.9972950284488388,0.0,1,0,0.59,maximize,True
privacy.delta-presence.score,6.695652172457467,6.695652172457467,6.695652172457467,0.0,6.695652172457467,0.0,1,0,0.47,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.91,maximize,True
privacy.k-anonymization.syn,24.00000001,24.00000001,24.00000001,0.0,24.00000001,0.0,1,0,0.91,maximize,True
privacy.k-map.score,24.0,24.0,24.0,0.0,24.0,0.0,1,0,0.47,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.95,maximize,True
privacy.distinct l-diversity.syn,24.00000001,24.00000001,24.00000001,0.0,24.00000001,0.0,1,0,0.95,maximize,True
privacy.identifiability_score.score,0.05260703292603302,0.05260703292603302,0.05260703292603302,0.0,0.05260703292603302,0.0,1,0,0.29,minimize,True
privacy.identifiability_score.score_OC,0.20119391847775395,0.20119391847775395,0.20119391847775395,0.0,0.20119391847775395,0.0,1,0,0.29,minimize,True
