index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.08451229287520876,0.08451229287520876,0.08451229287520876,0.0,0.08451229287520876,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.9503333333333334,0.9503333333333334,0.9503333333333334,0.0,0.9503333333333334,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.03643112923041339,0.03643112923041339,0.03643112923041339,0.0,0.03643112923041339,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.8338428536817994,0.8338428536817994,0.8338428536817994,0.0,0.8338428536817994,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.7183359871331926,0.7183359871331926,0.7183359871331926,0.0,0.7183359871331926,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.676579487179487,0.676579487179487,0.676579487179487,0.0,0.676579487179487,0.0,1,0,0.05,maximize,False
stats.max_mean_discrepancy.joint,0.00018094993105189202,0.00018094993105189202,0.00018094993105189202,0.0,0.00018094993105189202,0.0,1,0,10.88,minimize,False
stats.wasserstein_dist.joint,0.3234068358354158,0.3234068358354158,0.3234068358354158,0.0,0.3234068358354158,0.0,1,0,3.81,minimize,False
stats.prdc.precision,0.35546666666666665,0.35546666666666665,0.35546666666666665,0.0,0.35546666666666665,0.0,1,0,9.06,maximize,False
stats.prdc.recall,0.9586666666666667,0.9586666666666667,0.9586666666666667,0.0,0.9586666666666667,0.0,1,0,9.06,maximize,False
stats.prdc.density,0.16080000000000003,0.16080000000000003,0.16080000000000003,0.0,0.16080000000000003,0.0,1,0,9.06,maximize,False
stats.prdc.coverage,0.09513333333333333,0.09513333333333333,0.09513333333333333,0.0,0.09513333333333333,0.0,1,0,9.06,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.848368888888889,0.848368888888889,0.848368888888889,0.0,0.848368888888889,0.0,1,0,1.02,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.0909777777777776,0.0909777777777776,0.0909777777777776,0.0,0.0909777777777776,0.0,1,0,1.02,maximize,False
stats.alpha_precision.authenticity_OC,0.8992666666666667,0.8992666666666667,0.8992666666666667,0.0,0.8992666666666667,0.0,1,0,1.02,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9057915708812261,0.9057915708812261,0.9057915708812261,0.0,0.9057915708812261,0.0,1,0,1.02,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.009204444444444349,0.009204444444444349,0.009204444444444349,0.0,0.009204444444444349,0.0,1,0,1.02,maximize,False
stats.alpha_precision.authenticity_naive,0.9719333333333333,0.9719333333333333,0.9719333333333333,0.0,0.9719333333333333,0.0,1,0,1.02,maximize,False
privacy.delta-presence.score,37.338709671396984,37.338709671396984,37.338709671396984,0.0,37.338709671396984,0.0,1,0,0.47,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.9,maximize,False
privacy.k-anonymization.syn,42.00000001,42.00000001,42.00000001,0.0,42.00000001,0.0,1,0,0.9,maximize,False
privacy.k-map.score,26.0,26.0,26.0,0.0,26.0,0.0,1,0,0.48,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.95,maximize,False
privacy.distinct l-diversity.syn,42.00000001,42.00000001,42.00000001,0.0,42.00000001,0.0,1,0,0.95,maximize,False
privacy.identifiability_score.score,0.0208,0.0208,0.0208,0.0,0.0208,0.0,1,0,0.44,minimize,False
privacy.identifiability_score.score_OC,0.07546666666666667,0.07546666666666667,0.07546666666666667,0.0,0.07546666666666667,0.0,1,0,0.44,minimize,False
