index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.008766646160412521,0.008766646160412521,0.008766646160412521,0.0,0.008766646160412521,0.0,1,0,0.04,minimize,True
sanity.close_values_probability.score,0.9973883033299132,0.9973883033299132,0.9973883033299132,0.0,0.9973883033299132,0.0,1,0,0.04,maximize,True
stats.jensenshannon_dist.marginal,0.03557067310377667,0.03557067310377667,0.03557067310377667,0.0,0.03557067310377667,0.0,1,0,0.05,minimize,True
stats.chi_squared_test.marginal,0.6217054530177293,0.6217054530177293,0.6217054530177293,0.0,0.6217054530177293,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.711206329701242,0.711206329701242,0.711206329701242,0.0,0.711206329701242,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.6908726941373151,0.6908726941373151,0.6908726941373151,0.0,0.6908726941373151,0.0,1,0,0.05,maximize,True
stats.max_mean_discrepancy.joint,0.00020662256338759585,0.00020662256338759585,0.00020662256338759585,0.0,0.00020662256338759585,0.0,1,0,5.47,minimize,True
stats.wasserstein_dist.joint,0.48414666064734785,0.48414666064734785,0.48414666064734785,0.0,0.48414666064734785,0.0,1,0,1.4,minimize,True
stats.prdc.precision,0.4392314149799459,0.4392314149799459,0.4392314149799459,0.0,0.4392314149799459,0.0,1,0,4.64,maximize,True
stats.prdc.recall,0.9481391661225632,0.9481391661225632,0.9481391661225632,0.0,0.9481391661225632,0.0,1,0,4.64,maximize,True
stats.prdc.density,0.27040388023505274,0.27040388023505274,0.27040388023505274,0.0,0.27040388023505274,0.0,1,0,4.64,maximize,True
stats.prdc.coverage,0.1636041414047197,0.1636041414047197,0.1636041414047197,0.0,0.1636041414047197,0.0,1,0,4.64,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.5922519665454093,0.5922519665454093,0.5922519665454093,0.0,0.5922519665454093,0.0,1,0,0.51,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.08464384541243042,0.08464384541243042,0.08464384541243042,0.0,0.08464384541243042,0.0,1,0,0.51,maximize,True
stats.alpha_precision.authenticity_OC,0.9140005596492864,0.9140005596492864,0.9140005596492864,0.0,0.9140005596492864,0.0,1,0,0.51,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6634020458290583,0.6634020458290583,0.6634020458290583,0.0,0.6634020458290583,0.0,1,0,0.51,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0014239965177377245,0.0014239965177377245,0.0014239965177377245,0.0,0.0014239965177377245,0.0,1,0,0.51,maximize,True
stats.alpha_precision.authenticity_naive,0.9986941516649567,0.9986941516649567,0.9986941516649567,0.0,0.9986941516649567,0.0,1,0,0.51,maximize,True
privacy.delta-presence.score,49.99999993749999,49.99999993749999,49.99999993749999,0.0,49.99999993749999,0.0,1,0,0.48,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.93,maximize,True
privacy.k-anonymization.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.93,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.49,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.94,maximize,True
privacy.distinct l-diversity.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.94,maximize,True
privacy.identifiability_score.score,0.017628952523085533,0.017628952523085533,0.017628952523085533,0.0,0.017628952523085533,0.0,1,0,0.27,minimize,True
privacy.identifiability_score.score_OC,0.057364051860833876,0.057364051860833876,0.057364051860833876,0.0,0.057364051860833876,0.0,1,0,0.27,minimize,True
