index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.06161662015254883,0.06161662015254883,0.06161662015254883,0.0,0.06161662015254883,0.0,1,0,0.27,minimize,False
sanity.close_values_probability.score,0.9388,0.9388,0.9388,0.0,0.9388,0.0,1,0,0.27,maximize,False
stats.jensenshannon_dist.marginal,0.011376492382119378,0.011376492382119378,0.011376492382119378,0.0,0.011376492382119378,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.45059800261265254,0.45059800261265254,0.45059800261265254,0.0,0.45059800261265254,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.6372842425095276,0.6372842425095276,0.6372842425095276,0.0,0.6372842425095276,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9173846153846152,0.9173846153846152,0.9173846153846152,0.0,0.9173846153846152,0.0,1,0,0.1,maximize,False
stats.max_mean_discrepancy.joint,0.00015136607792159068,0.00015136607792159068,0.00015136607792159068,0.0,0.00015136607792159068,0.0,1,0,10.52,minimize,False
stats.wasserstein_dist.joint,0.05377536792319493,0.05377536792319493,0.05377536792319493,0.0,0.05377536792319493,0.0,1,0,3.84,minimize,False
stats.prdc.precision,0.5657333333333333,0.5657333333333333,0.5657333333333333,0.0,0.5657333333333333,0.0,1,0,8.86,maximize,False
stats.prdc.recall,0.006,0.006,0.006,0.0,0.006,0.0,1,0,8.86,maximize,False
stats.prdc.density,0.33041333333333334,0.33041333333333334,0.33041333333333334,0.0,0.33041333333333334,0.0,1,0,8.86,maximize,False
stats.prdc.coverage,0.009933333333333334,0.009933333333333334,0.009933333333333334,0.0,0.009933333333333334,0.0,1,0,8.86,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.95368,0.95368,0.95368,0.0,0.95368,0.0,1,0,1.0,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.2670933333333333,0.2670933333333333,0.2670933333333333,0.0,0.2670933333333333,0.0,1,0,1.0,maximize,False
stats.alpha_precision.authenticity_OC,0.7364,0.7364,0.7364,0.0,0.7364,0.0,1,0,1.0,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9138711111111111,0.9138711111111111,0.9138711111111111,0.0,0.9138711111111111,0.0,1,0,1.0,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.05520444444444439,0.05520444444444439,0.05520444444444439,0.0,0.05520444444444439,0.0,1,0,1.0,maximize,False
stats.alpha_precision.authenticity_naive,0.8869333333333334,0.8869333333333334,0.8869333333333334,0.0,0.8869333333333334,0.0,1,0,1.0,maximize,False
privacy.delta-presence.score,1.627247956394402,1.627247956394402,1.627247956394402,0.0,1.627247956394402,0.0,1,0,0.47,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.81,maximize,False
privacy.k-anonymization.syn,71.00000001,71.00000001,71.00000001,0.0,71.00000001,0.0,1,0,0.81,maximize,False
privacy.k-map.score,535.0,535.0,535.0,0.0,535.0,0.0,1,0,0.48,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.92,maximize,False
privacy.distinct l-diversity.syn,71.00000001,71.00000001,71.00000001,0.0,71.00000001,0.0,1,0,0.92,maximize,False
privacy.identifiability_score.score,0.0010666666666666667,0.0010666666666666667,0.0010666666666666667,0.0,0.0010666666666666667,0.0,1,0,0.66,minimize,False
privacy.identifiability_score.score_OC,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.0,0.25666666666666665,0.0,1,0,0.66,minimize,False
