index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.05946483551277634,0.05946483551277634,0.05946483551277634,0.0,0.05946483551277634,0.0,1,0,0.16,minimize,True
sanity.close_values_probability.score,0.9337748344370861,0.9337748344370861,0.9337748344370861,0.0,0.9337748344370861,0.0,1,0,0.16,maximize,True
stats.jensenshannon_dist.marginal,0.02599625268305207,0.02599625268305207,0.02599625268305207,0.0,0.02599625268305207,0.0,1,0,0.06,minimize,True
stats.chi_squared_test.marginal,0.3249059165170428,0.3249059165170428,0.3249059165170428,0.0,0.3249059165170428,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.5306011776635559,0.5306011776635559,0.5306011776635559,0.0,0.5306011776635559,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8126394638846836,0.8126394638846836,0.8126394638846836,0.0,0.8126394638846836,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.00021705488879896907,0.00021705488879896907,0.00021705488879896907,0.0,0.00021705488879896907,0.0,1,0,5.42,minimize,True
stats.wasserstein_dist.joint,0.3159568561652141,0.3159568561652141,0.3159568561652141,0.0,0.3159568561652141,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.7052513758044958,0.7052513758044958,0.7052513758044958,0.0,0.7052513758044958,0.0,1,0,4.56,maximize,True
stats.prdc.recall,0.07667195224326089,0.07667195224326089,0.07667195224326089,0.0,0.07667195224326089,0.0,1,0,4.56,maximize,True
stats.prdc.density,0.4835929484189908,0.4835929484189908,0.4835929484189908,0.0,0.4835929484189908,0.0,1,0,4.56,maximize,True
stats.prdc.coverage,0.011939184777539408,0.011939184777539408,0.011939184777539408,0.0,0.011939184777539408,0.0,1,0,4.56,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9553151136398967,0.9553151136398967,0.9553151136398967,0.0,0.9553151136398967,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.17661909647731866,0.17661909647731866,0.17661909647731866,0.0,0.17661909647731866,0.0,1,0,0.63,maximize,True
stats.alpha_precision.authenticity_OC,0.7907844417498368,0.7907844417498368,0.7907844417498368,0.0,0.7907844417498368,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.7097090574198024,0.7097090574198024,0.7097090574198024,0.0,0.7097090574198024,0.0,1,0,0.63,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0020520473836397324,0.0020520473836397324,0.0020520473836397324,0.0,0.0020520473836397324,0.0,1,0,0.63,maximize,True
stats.alpha_precision.authenticity_naive,0.998414327021733,0.998414327021733,0.998414327021733,0.0,0.998414327021733,0.0,1,0,0.63,maximize,True
privacy.delta-presence.score,783.9999921600001,783.9999921600001,783.9999921600001,0.0,783.9999921600001,0.0,1,0,0.38,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.84,maximize,True
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.84,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.46,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.86,maximize,True
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.86,maximize,True
privacy.identifiability_score.score,0.0024251469079376925,0.0024251469079376925,0.0024251469079376925,0.0,0.0024251469079376925,0.0,1,0,0.43,minimize,True
privacy.identifiability_score.score_OC,0.15707489972950284,0.15707489972950284,0.15707489972950284,0.0,0.15707489972950284,0.0,1,0,0.43,minimize,True
