index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.004877989392690185,0.004877989392690185,0.004877989392690185,0.0,0.004877989392690185,0.0,1,0,0.07,minimize,False
sanity.close_values_probability.score,0.9969333333333333,0.9969333333333333,0.9969333333333333,0.0,0.9969333333333333,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.008346730599325568,0.008346730599325568,0.008346730599325568,0.0,0.008346730599325568,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.914137819713208,0.914137819713208,0.914137819713208,0.0,0.914137819713208,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9507775644330183,0.9507775644330183,0.9507775644330183,0.0,0.9507775644330183,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9405846153846154,0.9405846153846154,0.9405846153846154,0.0,0.9405846153846154,0.0,1,0,0.11,maximize,False
stats.max_mean_discrepancy.joint,0.00014987011009389196,0.00014987011009389196,0.00014987011009389196,0.0,0.00014987011009389196,0.0,1,0,10.39,minimize,False
stats.wasserstein_dist.joint,0.051474272498543285,0.051474272498543285,0.051474272498543285,0.0,0.051474272498543285,0.0,1,0,4.21,minimize,False
stats.prdc.precision,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.0,0.5966666666666667,0.0,1,0,8.91,maximize,False
stats.prdc.recall,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.0,0.9783333333333334,0.0,1,0,8.91,maximize,False
stats.prdc.density,0.31805333333333335,0.31805333333333335,0.31805333333333335,0.0,0.31805333333333335,0.0,1,0,8.91,maximize,False
stats.prdc.coverage,0.31346666666666667,0.31346666666666667,0.31346666666666667,0.0,0.31346666666666667,0.0,1,0,8.91,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9436266666666666,0.9436266666666666,0.9436266666666666,0.0,0.9436266666666666,0.0,1,0,2.54,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.28108888888888894,0.28108888888888894,0.28108888888888894,0.0,0.28108888888888894,0.0,1,0,2.54,maximize,False
stats.alpha_precision.authenticity_OC,0.7341333333333333,0.7341333333333333,0.7341333333333333,0.0,0.7341333333333333,0.0,1,0,2.54,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9239333333333334,0.9239333333333334,0.9239333333333334,0.0,0.9239333333333334,0.0,1,0,2.54,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.07760444444444448,0.07760444444444448,0.07760444444444448,0.0,0.07760444444444448,0.0,1,0,2.54,maximize,False
stats.alpha_precision.authenticity_naive,0.8528666666666667,0.8528666666666667,0.8528666666666667,0.0,0.8528666666666667,0.0,1,0,2.54,maximize,False
privacy.delta-presence.score,19.2777777670679,19.2777777670679,19.2777777670679,0.0,19.2777777670679,0.0,1,0,0.48,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.93,maximize,False
privacy.k-anonymization.syn,137.00000001,137.00000001,137.00000001,0.0,137.00000001,0.0,1,0,0.93,maximize,False
privacy.k-map.score,18.0,18.0,18.0,0.0,18.0,0.0,1,0,0.51,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.99,maximize,False
privacy.distinct l-diversity.syn,137.00000001,137.00000001,137.00000001,0.0,137.00000001,0.0,1,0,0.99,maximize,False
privacy.identifiability_score.score,0.0406,0.0406,0.0406,0.0,0.0406,0.0,1,0,0.45,minimize,False
privacy.identifiability_score.score_OC,0.2687333333333333,0.2687333333333333,0.2687333333333333,0.0,0.2687333333333333,0.0,1,0,0.45,minimize,False
