index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.011012013587394167,0.011012013587394167,0.011012013587394167,0.0,0.011012013587394167,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.0,0.9859154929577465,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.024149760245511593,0.024149760245511593,0.024149760245511593,0.0,0.024149760245511593,0.0,1,0,0.06,minimize,True
stats.chi_squared_test.marginal,0.625992897617973,0.625992897617973,0.625992897617973,0.0,0.625992897617973,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8030737469470252,0.8030737469470252,0.8030737469470252,0.0,0.8030737469470252,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8349249854706436,0.8349249854706436,0.8349249854706436,0.0,0.8349249854706436,0.0,1,0,0.07,maximize,True
stats.max_mean_discrepancy.joint,0.00020293933997967396,0.00020293933997967396,0.00020293933997967396,0.0,0.00020293933997967396,0.0,1,0,5.3,minimize,True
stats.wasserstein_dist.joint,0.32265794599618514,0.32265794599618514,0.32265794599618514,0.0,0.32265794599618514,0.0,1,0,1.41,minimize,True
stats.prdc.precision,0.6470478500139912,0.6470478500139912,0.6470478500139912,0.0,0.6470478500139912,0.0,1,0,4.48,maximize,True
stats.prdc.recall,0.928271616453689,0.928271616453689,0.928271616453689,0.0,0.928271616453689,0.0,1,0,4.48,maximize,True
stats.prdc.density,0.38362093088331317,0.38362093088331317,0.38362093088331317,0.0,0.38362093088331317,0.0,1,0,4.48,maximize,True
stats.prdc.coverage,0.3495942542673258,0.3495942542673258,0.3495942542673258,0.0,0.3495942542673258,0.0,1,0,4.48,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.952498212231446,0.952498212231446,0.952498212231446,0.0,0.952498212231446,0.0,1,0,1.97,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.1971955352423591,0.1971955352423591,0.1971955352423591,0.0,0.1971955352423591,0.0,1,0,1.97,maximize,True
stats.alpha_precision.authenticity_OC,0.7821098778099058,0.7821098778099058,0.7821098778099058,0.0,0.7821098778099058,0.0,1,0,1.97,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.7181037967165098,0.7181037967165098,0.7181037967165098,0.0,0.7181037967165098,0.0,1,0,1.97,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.00185306097068072,0.00185306097068072,0.00185306097068072,0.0,0.00185306097068072,0.0,1,0,1.97,maximize,True
stats.alpha_precision.authenticity_naive,0.9972017535677642,0.9972017535677642,0.9972017535677642,0.0,0.9972017535677642,0.0,1,0,1.97,maximize,True
privacy.delta-presence.score,53.49999986625,53.49999986625,53.49999986625,0.0,53.49999986625,0.0,1,0,0.46,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.91,maximize,True
privacy.k-anonymization.syn,85.00000001,85.00000001,85.00000001,0.0,85.00000001,0.0,1,0,0.91,maximize,True
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.45,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.93,maximize,True
privacy.distinct l-diversity.syn,85.00000001,85.00000001,85.00000001,0.0,85.00000001,0.0,1,0,0.93,maximize,True
privacy.identifiability_score.score,0.03926872493237571,0.03926872493237571,0.03926872493237571,0.0,0.03926872493237571,0.0,1,0,0.3,minimize,True
privacy.identifiability_score.score_OC,0.17964742094953828,0.17964742094953828,0.17964742094953828,0.0,0.17964742094953828,0.0,1,0,0.3,minimize,True
