index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.4675173970275133,0.4675173970275133,0.4675173970275133,0.0,0.4675173970275133,0.0,1,0,0.07,minimize,False
sanity.close_values_probability.score,0.08113333333333334,0.08113333333333334,0.08113333333333334,0.0,0.08113333333333334,0.0,1,0,0.07,maximize,False
stats.jensenshannon_dist.marginal,0.036382697563348824,0.036382697563348824,0.036382697563348824,0.0,0.036382697563348824,0.0,1,0,0.0,minimize,False
stats.chi_squared_test.marginal,0.8684012951846015,0.8684012951846015,0.8684012951846015,0.0,0.8684012951846015,0.0,1,0,0.0,maximize,False
stats.inv_kl_divergence.marginal,0.7922855912243307,0.7922855912243307,0.7922855912243307,0.0,0.7922855912243307,0.0,1,0,0.0,maximize,False
stats.ks_test.marginal,0.7274974358974361,0.7274974358974361,0.7274974358974361,0.0,0.7274974358974361,0.0,1,0,0.0,maximize,False
stats.max_mean_discrepancy.joint,0.00015048713934105577,0.00015048713934105577,0.00015048713934105577,0.0,0.00015048713934105577,0.0,1,0,0.0,minimize,False
stats.wasserstein_dist.joint,1.118140190241349,1.118140190241349,1.118140190241349,0.0,1.118140190241349,0.0,1,0,0.0,minimize,False
stats.prdc.precision,0.5072,0.5072,0.5072,0.0,0.5072,0.0,1,0,0.0,maximize,False
stats.prdc.recall,0.0028666666666666667,0.0028666666666666667,0.0028666666666666667,0.0,0.0028666666666666667,0.0,1,0,0.0,maximize,False
stats.prdc.density,0.2616266666666667,0.2616266666666667,0.2616266666666667,0.0,0.2616266666666667,0.0,1,0,0.0,maximize,False
stats.prdc.coverage,0.051,0.051,0.051,0.0,0.051,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.3200711111111112,0.3200711111111112,0.3200711111111112,0.0,0.3200711111111112,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.007608888888889109,0.007608888888889109,0.007608888888889109,0.0,0.007608888888889109,0.0,1,0,0.0,maximize,False
stats.alpha_precision.authenticity_OC,0.9893333333333333,0.9893333333333333,0.9893333333333333,0.0,0.9893333333333333,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.2417999999999999,0.2417999999999999,0.2417999999999999,0.0,0.2417999999999999,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.00029333333333336764,0.00029333333333336764,0.00029333333333336764,0.0,0.00029333333333336764,0.0,1,0,0.0,maximize,False
stats.alpha_precision.authenticity_naive,0.9995333333333334,0.9995333333333334,0.9995333333333334,0.0,0.9995333333333334,0.0,1,0,0.0,maximize,False
privacy.delta-presence.score,3.923728813492818,3.923728813492818,3.923728813492818,0.0,3.923728813492818,0.0,1,0,0.0,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.0,maximize,False
privacy.k-anonymization.syn,765.00000001,765.00000001,765.00000001,0.0,765.00000001,0.0,1,0,0.0,maximize,False
privacy.k-map.score,437.0,437.0,437.0,0.0,437.0,0.0,1,0,0.0,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.0,maximize,False
privacy.distinct l-diversity.syn,765.00000001,765.00000001,765.00000001,0.0,765.00000001,0.0,1,0,0.0,maximize,False
privacy.identifiability_score.score,0.015,0.015,0.015,0.0,0.015,0.0,1,0,0.0,minimize,False
privacy.identifiability_score.score_OC,0.0112,0.0112,0.0112,0.0,0.0112,0.0,1,0,0.0,minimize,False
