index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.03326810588898245,0.03326810588898245,0.03326810588898245,0.0,0.03326810588898245,0.0,1,0,0.05,minimize,True
sanity.close_values_probability.score,0.9991605260703292,0.9991605260703292,0.9991605260703292,0.0,0.9991605260703292,0.0,1,0,0.05,maximize,True
stats.jensenshannon_dist.marginal,0.03723123607635394,0.03723123607635394,0.03723123607635394,0.0,0.03723123607635394,0.0,1,0,0.0,minimize,True
stats.chi_squared_test.marginal,0.8235071355621331,0.8235071355621331,0.8235071355621331,0.0,0.8235071355621331,0.0,1,0,0.0,maximize,True
stats.inv_kl_divergence.marginal,0.7797897766807094,0.7797897766807094,0.7797897766807094,0.0,0.7797897766807094,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.713165390714127,0.713165390714127,0.713165390714127,0.0,0.713165390714127,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.00020293932659517456,0.00020293932659517456,0.00020293932659517456,0.0,0.00020293932659517456,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,1.1440221874547443,1.1440221874547443,1.1440221874547443,0.0,1.1440221874547443,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.5247644809252868,0.5247644809252868,0.5247644809252868,0.0,0.5247644809252868,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.5163697416285794,0.5163697416285794,0.5163697416285794,0.0,0.5163697416285794,0.0,1,0,0.0,maximize,True
stats.prdc.density,0.29930043839194104,0.29930043839194104,0.29930043839194104,0.0,0.29930043839194104,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.16136554425893107,0.16136554425893107,0.16136554425893107,0.0,0.16136554425893107,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.6121630444921182,0.6121630444921182,0.6121630444921182,0.0,0.6121630444921182,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.09818113981904675,0.09818113981904675,0.09818113981904675,0.0,0.09818113981904675,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.8440443988433914,0.8440443988433914,0.8440443988433914,0.0,0.8440443988433914,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.10228523458632588,0.10228523458632588,0.10228523458632588,0.0,0.10228523458632588,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0005658676118521777,0.0005658676118521777,0.0005658676118521777,0.0,0.0005658676118521777,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,3.9499999998960527,3.9499999998960527,3.9499999998960527,0.0,3.9499999998960527,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,656.00000001,656.00000001,656.00000001,0.0,656.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,321.0,321.0,321.0,0.0,321.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.gt,36.0,36.0,36.0,0.0,36.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,656.00000001,656.00000001,656.00000001,0.0,656.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.02798246432235799,0.02798246432235799,0.02798246432235799,0.0,0.02798246432235799,0.0,1,0,0.0,minimize,True
privacy.identifiability_score.score_OC,0.1219102695644063,0.1219102695644063,0.1219102695644063,0.0,0.1219102695644063,0.0,1,0,0.0,minimize,True
