index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.20968414394138776,0.20968414394138776,0.20968414394138776,0.0,0.20968414394138776,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.548502994011976,0.548502994011976,0.548502994011976,0.0,0.548502994011976,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.08991014681459011,0.08991014681459011,0.08991014681459011,0.0,0.08991014681459011,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.48198674934415714,0.48198674934415714,0.48198674934415714,0.0,0.48198674934415714,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.6150623171839201,0.6150623171839201,0.6150623171839201,0.0,0.6150623171839201,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.4794411177644711,0.4794411177644711,0.4794411177644711,0.0,0.4794411177644711,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.0032402344694240468,0.0032402344694240468,0.0032402344694240468,0.0,0.0032402344694240468,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,6.474329431802403,6.474329431802403,6.474329431802403,0.0,6.474329431802403,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.1473053892215569,0.1473053892215569,0.1473053892215569,0.0,0.1473053892215569,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.019161676646706587,0.019161676646706587,0.019161676646706587,0.0,0.019161676646706587,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.038083832335329346,0.038083832335329346,0.038083832335329346,0.0,0.038083832335329346,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.013173652694610778,0.013173652694610778,0.013173652694610778,0.0,0.013173652694610778,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.5207984031936128,0.5207984031936128,0.5207984031936128,0.0,0.5207984031936128,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.031217564870259396,0.031217564870259396,0.031217564870259396,0.0,0.031217564870259396,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.9544910179640719,0.9544910179640719,0.9544910179640719,0.0,0.9544910179640719,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.13397205588822347,0.13397205588822347,0.13397205588822347,0.0,0.13397205588822347,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.9988023952095808,0.9988023952095808,0.9988023952095808,0.0,0.9988023952095808,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,9.59259258903978,9.59259258903978,9.59259258903978,0.0,9.59259258903978,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,26.00000001,26.00000001,26.00000001,0.0,26.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,27.0,27.0,27.0,0.0,27.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,26.00000001,26.00000001,26.00000001,0.0,26.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.0011976047904191617,0.0011976047904191617,0.0011976047904191617,0.0,0.0011976047904191617,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.03832335329341317,0.03832335329341317,0.03832335329341317,0.0,0.03832335329341317,0.0,1,0,0.01,minimize,False
