index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.11069589046387113,0.11069589046387113,0.11069589046387113,0.0,0.11069589046387113,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.8634730538922155,0.8634730538922155,0.8634730538922155,0.0,0.8634730538922155,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.011304692798521455,0.011304692798521455,0.011304692798521455,0.0,0.011304692798521455,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.6513232898967383,0.6513232898967383,0.6513232898967383,0.0,0.6513232898967383,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.8943821310387305,0.8943821310387305,0.8943821310387305,0.0,0.8943821310387305,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.8718562874251496,0.8718562874251496,0.8718562874251496,0.0,0.8718562874251496,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.017710033518022267,0.017710033518022267,0.017710033518022267,0.0,0.017710033518022267,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,0.41441376685731673,0.41441376685731673,0.41441376685731673,0.0,0.41441376685731673,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.7868263473053893,0.7868263473053893,0.7868263473053893,0.0,0.7868263473053893,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.7077844311377246,0.7077844311377246,0.7077844311377246,0.0,0.7077844311377246,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.38514970059880244,0.38514970059880244,0.38514970059880244,0.0,0.38514970059880244,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.17604790419161676,0.17604790419161676,0.17604790419161676,0.0,0.17604790419161676,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.20726546906187637,0.20726546906187637,0.20726546906187637,0.0,0.20726546906187637,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.1461077844311376,0.1461077844311376,0.1461077844311376,0.0,0.1461077844311376,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.8047904191616766,0.8047904191616766,0.8047904191616766,0.0,0.8047904191616766,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.7548268979282814,0.7548268979282814,0.7548268979282814,0.0,0.7548268979282814,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.04718562874251497,0.04718562874251497,0.04718562874251497,0.0,0.04718562874251497,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.732934131736527,0.732934131736527,0.732934131736527,0.0,0.732934131736527,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,13.999999930000001,13.999999930000001,13.999999930000001,0.0,13.999999930000001,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.06706586826347305,0.06706586826347305,0.06706586826347305,0.0,0.06706586826347305,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.09341317365269461,0.09341317365269461,0.09341317365269461,0.0,0.09341317365269461,0.0,1,0,0.01,minimize,False
