index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.09694806094220308,0.09694806094220308,0.09694806094220308,0.0,0.09694806094220308,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.8891129032258065,0.8891129032258065,0.8891129032258065,0.0,0.8891129032258065,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.01393503519047207,0.01393503519047207,0.01393503519047207,0.0,0.01393503519047207,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.014583022902536725,0.014583022902536725,0.014583022902536725,0.0,0.014583022902536725,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.6064554464106773,0.6064554464106773,0.6064554464106773,0.0,0.6064554464106773,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.8891689068100358,0.8891689068100358,0.8891689068100358,0.0,0.8891689068100358,0.0,1,0,0.01,maximize,True
stats.max_mean_discrepancy.joint,0.01328199951333795,0.01328199951333795,0.01328199951333795,0.0,0.01328199951333795,0.0,1,0,0.01,minimize,True
stats.wasserstein_dist.joint,0.5818758411686773,0.5818758411686773,0.5818758411686773,0.0,0.5818758411686773,0.0,1,0,0.01,minimize,True
stats.prdc.precision,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.0,0.45161290322580644,0.0,1,0,0.01,maximize,True
stats.prdc.recall,0.6995967741935484,0.6995967741935484,0.6995967741935484,0.0,0.6995967741935484,0.0,1,0,0.01,maximize,True
stats.prdc.density,0.33911290322580645,0.33911290322580645,0.33911290322580645,0.0,0.33911290322580645,0.0,1,0,0.01,maximize,True
stats.prdc.coverage,0.3245967741935484,0.3245967741935484,0.3245967741935484,0.0,0.3245967741935484,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.6092927326659252,0.6092927326659252,0.6092927326659252,0.0,0.6092927326659252,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.12620967741935485,0.12620967741935485,0.12620967741935485,0.0,0.12620967741935485,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_OC,0.6290322580645161,0.6290322580645161,0.6290322580645161,0.0,0.6290322580645161,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6471264367816092,0.6471264367816092,0.6471264367816092,0.0,0.6471264367816092,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.09045698924731171,0.09045698924731171,0.09045698924731171,0.0,0.09045698924731171,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_naive,0.6008064516129032,0.6008064516129032,0.6008064516129032,0.0,0.6008064516129032,0.0,1,0,0.01,maximize,True
privacy.delta-presence.score,9.72727271842975,9.72727271842975,9.72727271842975,0.0,9.72727271842975,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.01,maximize,True
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.01,maximize,True
privacy.identifiability_score.score,0.12096774193548387,0.12096774193548387,0.12096774193548387,0.0,0.12096774193548387,0.0,1,0,0.01,minimize,True
privacy.identifiability_score.score_OC,0.11088709677419355,0.11088709677419355,0.11088709677419355,0.0,0.11088709677419355,0.0,1,0,0.01,minimize,True
