index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.09462707021576941,0.09462707021576941,0.09462707021576941,0.0,0.09462707021576941,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.8826347305389222,0.8826347305389222,0.8826347305389222,0.0,0.8826347305389222,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.007986456352983028,0.007986456352983028,0.007986456352983028,0.0,0.007986456352983028,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.32581884022258273,0.32581884022258273,0.32581884022258273,0.0,0.32581884022258273,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.8069330514493428,0.8069330514493428,0.8069330514493428,0.0,0.8069330514493428,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9066533599467732,0.9066533599467732,0.9066533599467732,0.0,0.9066533599467732,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.007424337439950189,0.007424337439950189,0.007424337439950189,0.0,0.007424337439950189,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,0.24296410015602743,0.24296410015602743,0.24296410015602743,0.0,0.24296410015602743,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.8790419161676647,0.8790419161676647,0.8790419161676647,0.0,0.8790419161676647,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.39880239520958083,0.39880239520958083,0.39880239520958083,0.0,0.39880239520958083,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.7223952095808384,0.7223952095808384,0.7223952095808384,0.0,0.7223952095808384,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.38682634730538923,0.38682634730538923,0.38682634730538923,0.0,0.38682634730538923,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.7861408218046666,0.7861408218046666,0.7861408218046666,0.0,0.7861408218046666,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.39089820359281435,0.39089820359281435,0.39089820359281435,0.0,0.39089820359281435,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.5461077844311377,0.5461077844311377,0.5461077844311377,0.0,0.5461077844311377,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.7628742514970059,0.7628742514970059,0.7628742514970059,0.0,0.7628742514970059,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.23265469061876254,0.23265469061876254,0.23265469061876254,0.0,0.23265469061876254,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.6047904191616766,0.6047904191616766,0.6047904191616766,0.0,0.6047904191616766,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,17.999999940000002,17.999999940000002,17.999999940000002,0.0,17.999999940000002,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.1437125748502994,0.1437125748502994,0.1437125748502994,0.0,0.1437125748502994,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.38922155688622756,0.38922155688622756,0.38922155688622756,0.0,0.38922155688622756,0.0,1,0,0.01,minimize,False
