index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.06610990788536146,0.06610990788536146,0.06610990788536146,0.0,0.06610990788536146,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.948502994011976,0.948502994011976,0.948502994011976,0.0,0.948502994011976,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.006578006636412989,0.006578006636412989,0.006578006636412989,0.0,0.006578006636412989,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.3476782380615724,0.3476782380615724,0.3476782380615724,0.0,0.3476782380615724,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.8874420337946245,0.8874420337946245,0.8874420337946245,0.0,0.8874420337946245,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9002328675981371,0.9002328675981371,0.9002328675981371,0.0,0.9002328675981371,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.003201241969307509,0.003201241969307509,0.003201241969307509,0.0,0.003201241969307509,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,0.23367746060778694,0.23367746060778694,0.23367746060778694,0.0,0.23367746060778694,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.9245508982035928,0.9245508982035928,0.9245508982035928,0.0,0.9245508982035928,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.8407185628742515,0.8407185628742515,0.8407185628742515,0.0,0.8407185628742515,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.8364071856287426,0.8364071856287426,0.8364071856287426,0.0,0.8364071856287426,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.7676646706586826,0.7676646706586826,0.7676646706586826,0.0,0.7676646706586826,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.8898616559983481,0.8898616559983481,0.8898616559983481,0.0,0.8898616559983481,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4623552894211578,0.4623552894211578,0.4623552894211578,0.0,0.4623552894211578,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.525748502994012,0.525748502994012,0.525748502994012,0.0,0.525748502994012,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8157946176612292,0.8157946176612292,0.8157946176612292,0.0,0.8157946176612292,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.3924151696606787,0.3924151696606787,0.3924151696606787,0.0,0.3924151696606787,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.5413173652694611,0.5413173652694611,0.5413173652694611,0.0,0.5413173652694611,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,11.999999880000003,11.999999880000003,11.999999880000003,0.0,11.999999880000003,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.3389221556886228,0.3389221556886228,0.3389221556886228,0.0,0.3389221556886228,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.46107784431137727,0.46107784431137727,0.46107784431137727,0.0,0.46107784431137727,0.0,1,0,0.01,minimize,False
