index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.0849183652782329,0.0849183652782329,0.0849183652782329,0.0,0.0849183652782329,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9012096774193549,0.9012096774193549,0.9012096774193549,0.0,0.9012096774193549,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.009897071770633736,0.009897071770633736,0.009897071770633736,0.0,0.009897071770633736,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.02308089283286062,0.02308089283286062,0.02308089283286062,0.0,0.02308089283286062,0.0,1,0,0.0,maximize,True
stats.inv_kl_divergence.marginal,0.6196359720478036,0.6196359720478036,0.6196359720478036,0.0,0.6196359720478036,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.9234991039426522,0.9234991039426522,0.9234991039426522,0.0,0.9234991039426522,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.007531661031840263,0.007531661031840263,0.007531661031840263,0.0,0.007531661031840263,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,0.5082775397514088,0.5082775397514088,0.5082775397514088,0.0,0.5082775397514088,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.9536290322580645,0.9536290322580645,0.9536290322580645,0.0,0.9536290322580645,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.5846774193548387,0.5846774193548387,0.5846774193548387,0.0,0.5846774193548387,0.0,1,0,0.0,maximize,True
stats.prdc.density,1.2129032258064516,1.2129032258064516,1.2129032258064516,0.0,1.2129032258064516,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.7157258064516129,0.7157258064516129,0.7157258064516129,0.0,0.7157258064516129,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.6068548387096775,0.6068548387096775,0.6068548387096775,0.0,0.6068548387096775,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4322580645161289,0.4322580645161289,0.4322580645161289,0.0,0.4322580645161289,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.5262096774193549,0.5262096774193549,0.5262096774193549,0.0,0.5262096774193549,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.487231182795699,0.487231182795699,0.487231182795699,0.0,0.487231182795699,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.3389784946236559,0.3389784946236559,0.3389784946236559,0.0,0.3389784946236559,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.5564516129032258,0.5564516129032258,0.5564516129032258,0.0,0.5564516129032258,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,34.99999965000001,34.99999965000001,34.99999965000001,0.0,34.99999965000001,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.34274193548387094,0.34274193548387094,0.34274193548387094,0.0,0.34274193548387094,0.0,1,0,0.0,minimize,True
privacy.identifiability_score.score_OC,0.33669354838709675,0.33669354838709675,0.33669354838709675,0.0,0.33669354838709675,0.0,1,0,0.0,minimize,True
