Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,by far,0.11323735354588765,0.04493037383118951
sanity.close_values_probability.score,results 2,by far,0.9274598994493656,0.9872084273890143
sanity.distant_values_probability.score,results 1,marginally,0.00023940627244433804,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 2,marginally,0.05269077747252045,0.0436102382862885
stats.chi_squared_test.marginal,results 1,by far,0.1139995422081775,0.004844819514632694
stats.inv_kl_divergence.marginal,results 2,marginally,0.5162478850310733,0.547019732556047
stats.ks_test.marginal,results 2,marginally,0.5089511345197244,0.5439901903408298
stats.max_mean_discrepancy.joint,results 1,marginally,0.1584649754143594,0.1868088823140308
stats.wasserstein_dist.joint,results 2,by far,0.5223303571805856,0.27546911968161825
stats.prdc.precision,results 1,marginally,0.08594685180751736,0.0800100326059694
stats.prdc.recall,results 2,by far,0.7862101987072061,0.8492600953097567
stats.prdc.density,results 2,marginally,0.037730428537227675,0.047454226235264615
stats.prdc.coverage,results 1,marginally,0.015322001436437634,0.009530975670930524
stats.alpha_precision.delta_precision_alpha_OC,results 1,marginally,0.190599313702019,0.1690326895744504
stats.alpha_precision.delta_coverage_beta_OC,results 1,marginally,0.1017157449525179,0.07032856784549779
stats.alpha_precision.authenticity_OC,results 2,by far,0.8613837682547283,0.9611236518685728
stats.alpha_precision.delta_precision_alpha_naive,results 2,by far,0.1835448088739926,0.4480077493232315
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.0008618625807997882,0.0007190034278070634
stats.alpha_precision.authenticity_naive,results 2,marginally,1.0,1.0
performance.linear_model.syn_id,results 2,by far,-1.596779966318141,-0.5660802581610254
performance.linear_model.syn_ood,results 2,by far,-1.6437911334844904,-0.6486255619810724
performance.mlp.syn_id,results 2,by far,-1.5009681383768718,-0.41398998101552326
performance.mlp.syn_ood,results 2,by far,-1.5713024139404297,-0.47926390171051025
performance.xgb.syn_id,results 2,by far,-2.2266690731048584,-1.0262499650319417
performance.xgb.syn_ood,results 2,by far,-2.5223355293273926,-1.1816802024841309
performance.feat_rank_distance.corr,results 1,by far,-0.14285714285714285,0.14285714285714285
performance.feat_rank_distance.pvalue,results 2,marginally,0.7195436507936508,0.7195436507936508
detection.detection_xgb.mean,results 1,marginally,0.9998023730257843,0.9998056135412249
detection.detection_mlp.mean,results 2,marginally,0.9951617903830662,0.9837229649483471
detection.detection_gmm.mean,results 2,by far,0.9034077302755387,0.6864633233328106
detection.detection_linear.mean,results 2,marginally,0.99949034281041,0.9950171012902542
privacy.delta-presence.score,results 2,by far,68.59999993139999,141.4999992925
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 2,marginally,2.0,2.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 2,marginally,0.0021546564519990424,0.0015048908954100827
privacy.identifiability_score.score_OC,results 2,marginally,0.08618625807996169,0.05543014798093805
