Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.02128526635462395,0.01953468577787594
sanity.close_values_probability.score,results 1,marginally,0.9966483121857793,0.9894657637321295
sanity.distant_values_probability.score,results 1,marginally,0.00023940627244433804,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 2,marginally,0.015531834171471939,0.015295781838703535
stats.chi_squared_test.marginal,results 1,by far,0.7748252543361285,0.32811165349195764
stats.inv_kl_divergence.marginal,results 1,marginally,0.9195255608056281,0.9042652580142634
stats.ks_test.marginal,results 2,marginally,0.8465671800601177,0.8612156174232923
stats.max_mean_discrepancy.joint,results 2,marginally,0.027082440193216248,0.016495701024668463
stats.wasserstein_dist.joint,results 2,marginally,0.04159837925736379,0.04038741559247161
stats.prdc.precision,results 1,by far,0.28321762030165193,0.21118635565588162
stats.prdc.recall,results 1,marginally,0.9909025616471152,0.9791823426134939
stats.prdc.density,results 1,by far,0.1472348575532679,0.09184850764986206
stats.prdc.coverage,results 1,by far,0.21881733301412498,0.16503636819663908
stats.alpha_precision.delta_precision_alpha_OC,results 1,by far,0.40367089617748,0.30520859459911376
stats.alpha_precision.delta_coverage_beta_OC,results 1,marginally,0.2070066235735376,0.19570270044310678
stats.alpha_precision.authenticity_OC,results 2,marginally,0.6689011252094805,0.708051166290444
stats.alpha_precision.delta_precision_alpha_naive,results 1,marginally,0.8825043547175419,0.875047352170416
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.048775037905993246,0.033876766156675786
stats.alpha_precision.authenticity_naive,results 2,marginally,0.8228393583911898,0.8399799347880612
performance.linear_model.syn_id,results 1,by far,0.32039918171948806,0.037448351337415496
performance.linear_model.syn_ood,results 1,by far,0.28352636767525363,0.0487259294094301
performance.mlp.syn_id,results 1,by far,0.3348214626312256,0.05193817615509033
performance.mlp.syn_ood,results 1,by far,0.3211771249771118,0.07427442073822021
performance.xgb.syn_id,results 1,by far,0.2964777151743571,0.05834603309631348
performance.xgb.syn_ood,results 1,by far,0.2769893407821655,0.10590720176696777
performance.feat_rank_distance.corr,results 1,by far,0.0,0.07142857142857142
performance.feat_rank_distance.pvalue,results 2,by far,1.0,0.9048611111111111
detection.detection_xgb.mean,results 1,marginally,0.9950342173946726,0.9958780634503824
detection.detection_mlp.mean,results 1,marginally,0.7235581842307807,0.7671937181845513
detection.detection_gmm.mean,results 2,marginally,0.512084842594616,0.48894280754060926
detection.detection_linear.mean,results 1,marginally,0.6865090436400605,0.7221781550007426
privacy.delta-presence.score,results 2,by far,17.99999991,63.499999682500004
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 2,marginally,2.0,2.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 2,marginally,0.050754129758199665,0.03511412089290193
privacy.identifiability_score.score_OC,results 2,marginally,0.2635863059612162,0.24755455229495862
