Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.015535415530605107,0.015325175326332516
sanity.close_values_probability.score,results 1,marginally,0.9961694996408906,0.9784298971657888
sanity.distant_values_probability.score,results 1,marginally,0.00023940627244433804,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 1,marginally,0.004733695056114633,0.0068562885094370744
stats.chi_squared_test.marginal,results 2,by far,0.222203100515194,0.33317978746470633
stats.inv_kl_divergence.marginal,results 1,by far,0.9571999730766216,0.8909850448498359
stats.ks_test.marginal,results 1,marginally,0.9382863831032372,0.9263996878744809
stats.max_mean_discrepancy.joint,results 1,marginally,0.004897660228943224,0.008618193459248358
stats.wasserstein_dist.joint,results 1,marginally,0.006977288964070162,0.008469038131268647
stats.prdc.precision,results 1,by far,0.7186976298779028,0.6621519939804364
stats.prdc.recall,results 1,marginally,0.9626526214986832,0.9302733885126662
stats.prdc.density,results 1,marginally,0.5601627962652621,0.5162277401555054
stats.prdc.coverage,results 1,marginally,0.6674646875748145,0.6240280912967143
stats.alpha_precision.delta_precision_alpha_OC,results 1,marginally,0.7882690926502275,0.7569768414012206
stats.alpha_precision.delta_coverage_beta_OC,results 1,marginally,0.4009257042534514,0.38975002090126243
stats.alpha_precision.authenticity_OC,results 2,marginally,0.5393823318170936,0.5608226736894908
stats.alpha_precision.delta_precision_alpha_naive,results 1,marginally,0.9733103283168087,0.9434789502665272
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.2230628042454713,0.19463255580637062
stats.alpha_precision.authenticity_naive,results 2,by far,0.6080919320086187,0.6714321545021319
performance.linear_model.syn_id,results 1,by far,0.44101651417354937,0.3299718011635792
performance.linear_model.syn_ood,results 1,by far,0.38497173967772164,0.31932185823369974
performance.mlp.syn_id,results 1,by far,0.489690621693929,0.33188748359680176
performance.mlp.syn_ood,results 1,by far,0.4590185284614563,0.3398311734199524
performance.xgb.syn_id,results 1,by far,0.3927326599756877,0.2711824377377828
performance.xgb.syn_ood,results 1,by far,0.3504141569137573,0.25938791036605835
performance.feat_rank_distance.corr,results 2,by far,0.3571428571428571,0.21428571428571427
performance.feat_rank_distance.pvalue,results 1,by far,0.27509920634920637,0.5484126984126985
detection.detection_xgb.mean,results 2,marginally,0.9895279619077432,0.9886873686358015
detection.detection_mlp.mean,results 1,marginally,0.5315322810873987,0.580925253122309
detection.detection_gmm.mean,results 1,marginally,0.49680693141760557,0.5056904276747435
detection.detection_linear.mean,results 1,marginally,0.6089405257880194,0.6283174266705394
privacy.delta-presence.score,results 2,by far,11.99999996,126.99999873000002
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 1,by far,2.0,1.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 2,marginally,0.23820924108211636,0.2036619011788312
privacy.identifiability_score.score_OC,results 1,marginally,0.41704572659803685,0.4196137446701781
