,index,adsgan,pategan,dpgan,decaf,ctgan,tvae,rtvae,ddpm,arf
0,privacy.delta-presence.score,-250.0,30.52,47.59,-191.67,-250.0,-191.67,83.76,98.73,-138.1
1,privacy.distinct l-diversity.syn,400.0,250.0,-50.0,83.33,400.0,300.0,50.0,-55.56,1600.0
2,privacy.k-anonymization.syn,400.0,250.0,-50.0,83.33,400.0,300.0,50.0,-55.56,1600.0
3,privacy.k-map.score,0.0,100.0,0.0,0.0,100.0,0.0,2500.0,700.0,200.0
4,sanity.close_values_probability.score,-3.28,2.97,1476.71,-2.2,-4.53,-4.99,-0.86,1405.22,-1.05
5,sanity.nearest_syn_neighbor_distance.mean,-10.42,12.42,56.65,-27.1,-20.84,-28.45,-3.18,80.54,11.09
6,stats.alpha_precision.authenticity_naive,-6.67,-18.03,-29.64,17.62,3.95,2.8,-3.99,-44.96,2.97
7,stats.chi_squared_test.marginal,-95.98,-97.76,-98.75,-79.47,-95.0,-93.36,-92.25,-81.14,-91.43
8,stats.inv_kl_divergence.marginal,34.03,32.19,29.42,16.33,31.84,30.18,25.0,10.84,33.96
9,stats.jensenshannon_dist.marginal,-144.72,-23.27,85.11,-35.09,-165.89,-50.46,-39.71,65.67,-141.36
10,stats.ks_test.marginal,-5.94,-1.99,-307.91,-5.32,-0.56,-2.58,-1.38,-14.94,1.52
11,stats.max_mean_discrepancy.joint,-126.63,25.0,-2520.1,-186.36,-101.93,-135.27,-70.45,29.38,-46.94
12,stats.prdc.coverage,-18.14,84.38,124.46,-25.68,-15.35,-6.77,6.32,33232.66,-10.4
13,stats.prdc.density,60.73,-11.95,-97.22,27.11,24.11,45.01,46.86,11259.2,56.81
14,stats.prdc.precision,9.8,-42.6,-94.68,3.3,2.19,3.15,9.86,1976.28,7.28
15,stats.prdc.recall,-35.0,-1.16,81.05,-42.01,-29.84,-30.46,-42.87,-15.34,-29.51
16,stats.wasserstein_dist.joint,-143.32,-40.41,91.0,-72.74,-189.16,-117.51,-106.8,77.14,-182.78
