Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,by far,0.24324324324324326,0.02702702702702703
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.0,0.0
sanity.close_values_probability.score,results 2,marginally,1.0,1.0
sanity.distant_values_probability.score,results 2,marginally,0.0,0.0
stats.jensenshannon_dist.marginal,results 2,by far,0.0867498220718565,0.029802017252923665
stats.ks_test.marginal,results 2,by far,,
performance.linear_model.syn_id,results 2,marginally,-1.0,-1.0
performance.linear_model.syn_ood,results 2,marginally,-1.0,-1.0
performance.mlp.syn_id,results 2,marginally,-1.0,-1.0
performance.mlp.syn_ood,results 2,marginally,-1.0,-1.0
performance.xgb.syn_id,results 2,by far,-2.1595489184061685,-0.07619861761728923
performance.xgb.syn_ood,results 2,by far,-2.016697883605957,-0.07526898384094238
performance.feat_rank_distance.corr,results 2,by far,0.07871244495823922,0.0
performance.feat_rank_distance.pvalue,results 2,by far,0.5116915319452864,0.0
detection.detection_xgb.mean,results 1,marginally,0.9999633386815727,0.9999877563513927
