,index,adsgan,pategan,dpgan,decaf,ctgan,tvae,rtvae,ddpm,arf
0,privacy.delta-presence.score,-1640.87,-33.91,81.36,-757.14,-644.35,-177.52,-48079.5,-227.31,-141.81
1,privacy.distinct l-diversity.syn,-73.83,-83.33,-32.73,-77.78,-65.9,-37.96,-98.59,-66.0,-75.0
2,privacy.k-anonymization.syn,-73.83,-83.33,-32.73,-77.78,-65.9,-37.96,-98.59,-66.0,-75.0
3,privacy.k-map.score,-69.23,-96.15,25.42,-80.0,-75.0,-77.78,-99.81,-66.0,-74.58
4,sanity.close_values_probability.score,-0.1,4.95,278.09,-6.29,-1.09,-1.11,-0.54,-0.16,0.32
5,sanity.nearest_syn_neighbor_distance.mean,-53.82,89.63,88.87,-60.57,-109.65,-125.75,3.49,1.53,66.64
6,stats.alpha_precision.authenticity_naive,7.51,2.75,-0.01,6.55,7.05,16.92,12.57,10.07,53.54
7,stats.chi_squared_test.marginal,-18.52,-25.44,-8.97,-19.03,-3.06,-31.52,-27.89,-10.79,-11.25
8,stats.inv_kl_divergence.marginal,8.72,0.99,2.77,16.78,10.06,15.54,16.74,8.93,8.74
9,stats.jensenshannon_dist.marginal,-89.01,2.36,-4.45,-180.05,-159.57,-189.33,-128.51,-539.4,-577.52
10,stats.ks_test.marginal,7.06,-2.11,1.52,10.47,9.93,11.23,11.42,10.26,10.2
11,stats.max_mean_discrepancy.joint,-35.41,-14.19,-33.58,-35.41,-35.41,-35.41,-43.4,-41.0,-53.29
12,stats.prdc.coverage,17.1,71.97,34.29,-1.48,10.13,11.53,20.19,16.89,-11.51
13,stats.prdc.density,20.28,68.16,-78.9,18.53,23.74,20.62,46.36,23.29,8.28
14,stats.prdc.precision,7.66,23.56,-68.13,16.78,11.43,8.44,24.66,12.7,8.99
15,stats.prdc.recall,-1.75,-1.1,-14.66,-2.47,-4.32,-5.12,1177.87,-3.44,-4.78
16,stats.wasserstein_dist.joint,-305.42,-49.7,-21.1,-284.91,-340.66,-526.83,-487.55,-697.04,-920.13
