metric,synthesizer,Orig,PrivGen,metric_category
delta-presence.score,adsgan,9.999999900000002,34.99999965000001,privacy
distinct l-diversity.syn,adsgan,2.00000001,10.00000001,privacy
k-anonymization.syn,adsgan,2.00000001,10.00000001,privacy
k-map.score,adsgan,1.0,1.0,privacy
close_values_probability.score,adsgan,0.940119760479042,0.9092741935483872,sanity
nearest_syn_neighbor_distance.mean,adsgan,0.0767025350650014,0.0846919910339597,sanity
alpha_precision.authenticity_naive,adsgan,0.5832335329341317,0.5443548387096774,stats
chi_squared_test.marginal,adsgan,0.6405855734260354,0.0257261090521631,stats
inv_kl_divergence.marginal,adsgan,0.9385545929468267,0.6191307887013981,stats
jensenshannon_dist.marginal,adsgan,0.0040923610166901,0.0100147610680075,stats
ks_test.marginal,adsgan,0.8768795741849635,0.9289314516129032,stats
max_mean_discrepancy.joint,adsgan,0.0032926016735249,0.007462059404187,stats
prdc.coverage,adsgan,0.7832335329341318,0.6411290322580645,stats
prdc.density,adsgan,0.7310179640718564,1.175,stats
prdc.precision,adsgan,0.8850299401197604,0.9717741935483872,stats
prdc.recall,adsgan,0.8778443113772455,0.5705645161290323,stats
wasserstein_dist.joint,adsgan,0.20623006589568,0.501803088660292,stats
delta-presence.score,pategan,13.99999993,9.72727271842975,privacy
distinct l-diversity.syn,pategan,2.00000001,7.00000001,privacy
k-anonymization.syn,pategan,2.00000001,7.00000001,privacy
k-map.score,pategan,2.0,4.0,privacy
close_values_probability.score,pategan,0.8634730538922155,0.8891129032258065,sanity
nearest_syn_neighbor_distance.mean,pategan,0.1106958904638711,0.096948060942203,sanity
alpha_precision.authenticity_naive,pategan,0.732934131736527,0.6008064516129032,stats
chi_squared_test.marginal,pategan,0.6513232898967383,0.0145830229025367,stats
inv_kl_divergence.marginal,pategan,0.8943821310387305,0.6064554464106773,stats
jensenshannon_dist.marginal,pategan,0.0113046927985214,0.013935035190472,stats
ks_test.marginal,pategan,0.8718562874251496,0.8891689068100358,stats
max_mean_discrepancy.joint,pategan,0.0177100335180222,0.0132819995133379,stats
prdc.coverage,pategan,0.1760479041916167,0.3245967741935484,stats
prdc.density,pategan,0.3851497005988024,0.3391129032258064,stats
prdc.precision,pategan,0.7868263473053893,0.4516129032258064,stats
prdc.recall,pategan,0.7077844311377246,0.6995967741935484,stats
wasserstein_dist.joint,pategan,0.4144137668573167,0.5818758411686773,stats
delta-presence.score,dpgan,289.99999710000003,151.99999848000002,privacy
distinct l-diversity.syn,dpgan,4.00000001,2.00000001,privacy
k-anonymization.syn,dpgan,4.00000001,2.00000001,privacy
k-map.score,dpgan,1.0,1.0,privacy
close_values_probability.score,dpgan,0.0491017964071856,0.7741935483870968,sanity
nearest_syn_neighbor_distance.mean,dpgan,0.3230810904019753,0.1400422008325495,sanity
alpha_precision.authenticity_naive,dpgan,1.0,0.7036290322580645,stats
chi_squared_test.marginal,dpgan,0.5762530761880466,0.0071964357477762,stats
inv_kl_divergence.marginal,dpgan,0.7869088353926316,0.555393483241096,stats
jensenshannon_dist.marginal,dpgan,0.1574878002261557,0.0234442083071126,stats
ks_test.marginal,dpgan,0.2006986027944111,0.818660394265233,stats
max_mean_discrepancy.joint,dpgan,0.0032512158710125,0.085185070569135,stats
prdc.coverage,dpgan,0.0035928143712574,0.0080645161290322,stats
prdc.density,dpgan,0.3918562874251497,0.0108870967741935,stats
prdc.precision,dpgan,0.9844311377245508,0.0524193548387096,stats
prdc.recall,dpgan,0.3173652694610778,0.5745967741935484,stats
wasserstein_dist.joint,dpgan,11.176417672935193,1.0061664643209909,stats
delta-presence.score,decaf,11.999999880000004,34.99999965000001,privacy
distinct l-diversity.syn,decaf,6.00000001,11.00000001,privacy
k-anonymization.syn,decaf,6.00000001,11.00000001,privacy
k-map.score,decaf,1.0,1.0,privacy
close_values_probability.score,decaf,0.917365269461078,0.8971774193548387,sanity
nearest_syn_neighbor_distance.mean,decaf,0.0838232237765461,0.1065368830479768,sanity
alpha_precision.authenticity_naive,decaf,0.5365269461077844,0.6310483870967742,stats
chi_squared_test.marginal,decaf,0.1295477042747642,0.0265921026949127,stats
inv_kl_divergence.marginal,decaf,0.7082038894745433,0.5925365854410006,stats
jensenshannon_dist.marginal,decaf,0.0075389252778024,0.0101842987980157,stats
ks_test.marginal,decaf,0.8733200266134398,0.9197468637992832,stats
max_mean_discrepancy.joint,decaf,0.0058063844470607,0.016627393879336,stats
prdc.coverage,decaf,0.4502994011976048,0.3346774193548387,stats
prdc.density,decaf,0.9053892215568862,1.1508064516129033,stats
prdc.precision,decaf,0.948502994011976,0.9798387096774194,stats
prdc.recall,decaf,0.3233532934131736,0.1875,stats
wasserstein_dist.joint,decaf,0.2928510208880693,0.5058570178689692,stats
delta-presence.score,ctgan,4.999999950000001,17.4999999125,privacy
distinct l-diversity.syn,ctgan,1.00000001,5.00000001,privacy
k-anonymization.syn,ctgan,1.00000001,5.00000001,privacy
k-map.score,ctgan,1.0,2.0,privacy
close_values_probability.score,ctgan,0.9461077844311376,0.9032258064516128,sanity
nearest_syn_neighbor_distance.mean,ctgan,0.0695858388848341,0.0840867346492688,sanity
alpha_precision.authenticity_naive,ctgan,0.5353293413173653,0.5564516129032258,stats
chi_squared_test.marginal,ctgan,0.5219823526716418,0.026089465913656,stats
inv_kl_divergence.marginal,ctgan,0.9311546520759556,0.6346769121445877,stats
jensenshannon_dist.marginal,ctgan,0.0036408922681973,0.0096807108618223,stats
ks_test.marginal,ctgan,0.9271457085828344,0.9322916666666666,stats
max_mean_discrepancy.joint,ctgan,0.002795088959758,0.0056440088673332,stats
prdc.coverage,ctgan,0.8455089820359282,0.7157258064516129,stats
prdc.density,ctgan,0.8567664670658683,1.0633064516129032,stats
prdc.precision,ctgan,0.917365269461078,0.9375,stats
prdc.recall,ctgan,0.8994011976047904,0.6310483870967742,stats
wasserstein_dist.joint,ctgan,0.1724386348235481,0.4986151307759601,stats
delta-presence.score,tvae,11.999999880000004,34.99999965000001,privacy
distinct l-diversity.syn,tvae,2.00000001,8.00000001,privacy
k-anonymization.syn,tvae,2.00000001,8.00000001,privacy
k-map.score,tvae,1.0,1.0,privacy
close_values_probability.score,tvae,0.948502994011976,0.9012096774193548,sanity
nearest_syn_neighbor_distance.mean,tvae,0.0661099078853614,0.0849183652782329,sanity
alpha_precision.authenticity_naive,tvae,0.5413173652694611,0.5564516129032258,stats
chi_squared_test.marginal,tvae,0.3476782380615724,0.0230808928328606,stats
inv_kl_divergence.marginal,tvae,0.8874420337946245,0.6196359720478036,stats
jensenshannon_dist.marginal,tvae,0.0065780066364129,0.0098970717706337,stats
ks_test.marginal,tvae,0.9002328675981371,0.9234991039426522,stats
max_mean_discrepancy.joint,tvae,0.0032012419693075,0.0075316610318402,stats
prdc.coverage,tvae,0.7676646706586826,0.7157258064516129,stats
prdc.density,tvae,0.8364071856287426,1.2129032258064516,stats
prdc.precision,tvae,0.9245508982035928,0.9536290322580644,stats
prdc.recall,tvae,0.8407185628742515,0.5846774193548387,stats
wasserstein_dist.joint,tvae,0.2336774606077869,0.5082775397514088,stats
delta-presence.score,rtvae,17.999999940000002,2.923076922514793,privacy
distinct l-diversity.syn,rtvae,2.00000001,3.00000001,privacy
k-anonymization.syn,rtvae,2.00000001,3.00000001,privacy
k-map.score,rtvae,2.0,52.0,privacy
close_values_probability.score,rtvae,0.8826347305389222,0.875,sanity
nearest_syn_neighbor_distance.mean,rtvae,0.0946270702157694,0.0976347552899444,sanity
alpha_precision.authenticity_naive,rtvae,0.6047904191616766,0.5806451612903226,stats
chi_squared_test.marginal,rtvae,0.3258188402225827,0.0252368345355565,stats
inv_kl_divergence.marginal,rtvae,0.8069330514493428,0.6051632955237027,stats
jensenshannon_dist.marginal,rtvae,0.007986456352983,0.0111575224970107,stats
ks_test.marginal,rtvae,0.9066533599467732,0.9191868279569892,stats
max_mean_discrepancy.joint,rtvae,0.0074243374399501,0.0126548262876935,stats
prdc.coverage,rtvae,0.3868263473053892,0.4112903225806452,stats
prdc.density,rtvae,0.7223952095808384,1.0608870967741937,stats
prdc.precision,rtvae,0.8790419161676647,0.9657258064516128,stats
prdc.recall,rtvae,0.3988023952095808,0.2278225806451612,stats
wasserstein_dist.joint,rtvae,0.2429641001560274,0.5024603409267854,stats
delta-presence.score,ddpm,228.99999771000003,2.9166666642361108,privacy
distinct l-diversity.syn,ddpm,9.00000001,4.00000001,privacy
k-anonymization.syn,ddpm,9.00000001,4.00000001,privacy
k-map.score,ddpm,1.0,8.0,privacy
close_values_probability.score,ddpm,0.0610778443113772,0.9193548387096774,sanity
nearest_syn_neighbor_distance.mean,ddpm,0.4034330576340348,0.0785063133952374,sanity
alpha_precision.authenticity_naive,ddpm,1.0,0.5504032258064516,stats
chi_squared_test.marginal,ddpm,0.2905911121618977,0.0547934564132022,stats
inv_kl_divergence.marginal,ddpm,0.7260682984352892,0.6473869453728427,stats
jensenshannon_dist.marginal,ddpm,0.0257537757381129,0.008840658446136,stats
ks_test.marginal,ddpm,0.8180638722554889,0.94024417562724,stats
max_mean_discrepancy.joint,ddpm,0.0063304767710047,0.0044708731788351,stats
prdc.coverage,ddpm,0.0023952095808383,0.7983870967741935,stats
prdc.density,ddpm,0.0095808383233532,1.0883064516129033,stats
prdc.precision,ddpm,0.0467065868263473,0.969758064516129,stats
prdc.recall,ddpm,0.8239520958083832,0.6975806451612904,stats
wasserstein_dist.joint,ddpm,2.1686184602557965,0.4957029792781962,stats
delta-presence.score,arf,3.4999999825000003,8.333333305555556,privacy
distinct l-diversity.syn,arf,1.00000001,17.00000001,privacy
k-anonymization.syn,arf,1.00000001,17.00000001,privacy
k-map.score,arf,1.0,3.0,privacy
close_values_probability.score,arf,0.9209580838323354,0.9112903225806452,sanity
nearest_syn_neighbor_distance.mean,arf,0.088581857578602,0.0787624628783129,sanity
alpha_precision.authenticity_naive,arf,0.5149700598802395,0.530241935483871,stats
chi_squared_test.marginal,arf,0.6404893752948352,0.054870705998639,stats
inv_kl_divergence.marginal,arf,0.9747039591432866,0.6437286387891576,stats
jensenshannon_dist.marginal,arf,0.0036435057797831,0.0087938014178246,stats
ks_test.marginal,arf,0.9548902195608782,0.9403561827956988,stats
max_mean_discrepancy.joint,arf,0.0026415970031478,0.0038815066578316,stats
prdc.coverage,arf,0.8910179640718563,0.7983870967741935,stats
prdc.density,arf,0.7200000000000001,1.1290322580645162,stats
prdc.precision,arf,0.881437125748503,0.9455645161290324,stats
prdc.recall,arf,0.9724550898203592,0.6854838709677419,stats
wasserstein_dist.joint,arf,0.1747079978780986,0.4940462435752261,stats
