metric,synthesizer,Orig,PrivGen,metric_category
delta-presence.score,adsgan,9.999999900000002,26.999999865000003,privacy
delta-presence.score,arf,4.999999975000001,5.3999999946,privacy
delta-presence.score,ctgan,5.99999997,24.999999750000004,privacy
delta-presence.score,ddpm,114.4999994275,289.99999710000003,privacy
delta-presence.score,decaf,9.1999999816,17.999999820000003,privacy
delta-presence.score,dpgan,226.99999773000005,0.6275449101721252,privacy
delta-presence.score,pategan,19.08333331743055,27.999999720000005,privacy
delta-presence.score,rtvae,17.999999820000003,15.666666614444445,privacy
delta-presence.score,tvae,7.333333308888889,9.1999999816,privacy
distinct l-diversity.syn,adsgan,1.00000001,13.00000001,privacy
distinct l-diversity.syn,arf,1.00000001,10.00000001,privacy
distinct l-diversity.syn,ctgan,1.00000001,12.00000001,privacy
distinct l-diversity.syn,ddpm,15.00000001,24.00000001,privacy
distinct l-diversity.syn,decaf,5.00000001,10.00000001,privacy
distinct l-diversity.syn,dpgan,25.00000001,8.00000001,privacy
distinct l-diversity.syn,pategan,4.00000001,2.00000001,privacy
distinct l-diversity.syn,rtvae,10.00000001,5.00000001,privacy
distinct l-diversity.syn,tvae,5.00000001,3.00000001,privacy
k-anonymization.syn,adsgan,1.00000001,13.00000001,privacy
k-anonymization.syn,arf,1.00000001,10.00000001,privacy
k-anonymization.syn,ctgan,1.00000001,12.00000001,privacy
k-anonymization.syn,ddpm,15.00000001,24.00000001,privacy
k-anonymization.syn,decaf,5.00000001,10.00000001,privacy
k-anonymization.syn,dpgan,25.00000001,8.00000001,privacy
k-anonymization.syn,pategan,4.00000001,2.00000001,privacy
k-anonymization.syn,rtvae,10.00000001,5.00000001,privacy
k-anonymization.syn,tvae,5.00000001,3.00000001,privacy
k-map.score,adsgan,1.0,1.0,privacy
k-map.score,arf,2.0,5.0,privacy
k-map.score,ctgan,1.0,1.0,privacy
k-map.score,ddpm,2.0,1.0,privacy
k-map.score,decaf,3.0,1.0,privacy
k-map.score,dpgan,1.0,835.0,privacy
k-map.score,pategan,2.0,1.0,privacy
k-map.score,rtvae,1.0,1.0,privacy
k-map.score,tvae,3.0,2.0,privacy
close_values_probability.score,adsgan,0.9425149700598804,0.9365269461077844,sanity
close_values_probability.score,arf,0.8826347305389222,0.948502994011976,sanity
close_values_probability.score,ctgan,0.9317365269461078,0.9377245508982036,sanity
close_values_probability.score,ddpm,0.0011976047904191,0.5041916167664671,sanity
close_values_probability.score,decaf,0.918562874251497,0.925748502994012,sanity
close_values_probability.score,dpgan,0.8682634730538922,0.7401197604790419,sanity
close_values_probability.score,pategan,0.8838323353293414,0.9365269461077844,sanity
close_values_probability.score,rtvae,0.9221556886227544,0.911377245508982,sanity
