metric,synthesizer,Orig,PrivGen,metric_category
delta-presence.score,adsgan,1.8771929822914744,3.051282050499671,privacy
distinct l-diversity.syn,adsgan,13.00000001,17.00000001,privacy
k-anonymization.syn,adsgan,13.00000001,17.00000001,privacy
k-map.score,adsgan,7.0,9.0,privacy
close_values_probability.score,adsgan,0.987,0.9805825242718448,sanity
nearest_syn_neighbor_distance.mean,adsgan,0.0418825822729203,0.0124308052354499,sanity
alpha_precision.authenticity_naive,adsgan,0.537,0.5285868392664509,stats
chi_squared_test.marginal,adsgan,0.9493484593539084,0.937558873118226,stats
inv_kl_divergence.marginal,adsgan,0.9762469716806934,0.9612282818766282,stats
jensenshannon_dist.marginal,adsgan,0.0060525573147311,0.0077898882509477,stats
ks_test.marginal,adsgan,0.9559523809523808,0.9508912518621254,stats
max_mean_discrepancy.joint,adsgan,0.0019999999174116,0.0021574972638058,stats
prdc.coverage,adsgan,0.932,0.8867313915857605,stats
prdc.density,adsgan,0.9354,1.0196332254584684,stats
prdc.precision,adsgan,0.973,0.9848975188781014,stats
prdc.recall,adsgan,0.99,0.9590075512405608,stats
wasserstein_dist.joint,adsgan,0.4728355816197227,0.4714488078608746,stats
delta-presence.score,pategan,8.74074073750343,27.249999931875,privacy
distinct l-diversity.syn,pategan,5.00000001,1.00000001,privacy
k-anonymization.syn,pategan,5.00000001,1.00000001,privacy
k-map.score,pategan,8.0,2.0,privacy
close_values_probability.score,pategan,0.959,0.9805825242718448,sanity
nearest_syn_neighbor_distance.mean,pategan,0.0705833687456732,0.0206244509375112,sanity
alpha_precision.authenticity_naive,pategan,0.682,0.7583603020496225,stats
chi_squared_test.marginal,pategan,0.8468236061552055,0.3988192993172584,stats
inv_kl_divergence.marginal,pategan,0.8695585089113378,0.6374089372923701,stats
jensenshannon_dist.marginal,pategan,0.0284633078466683,0.0484364706451327,stats
ks_test.marginal,pategan,0.8033333333333333,0.7190116607592335,stats
max_mean_discrepancy.joint,pategan,0.0023129055919321,0.0025218333231224,stats
prdc.coverage,pategan,0.635,0.598705501618123,stats
prdc.density,pategan,0.7128000000000001,0.9980582524271844,stats
prdc.precision,pategan,0.994,1.0,stats
prdc.recall,pategan,0.979,0.6526429341963322,stats
wasserstein_dist.joint,pategan,0.6819381441583892,0.9275860642695116,stats
delta-presence.score,dpgan,116.99999883000002,54.4999997275,privacy
distinct l-diversity.syn,dpgan,1.00000001,2.00000001,privacy
