metric,synthesizer,Orig,PrivGen,metric_category
delta-presence.score,adsgan,2.999999998,12.249999969375,privacy
delta-presence.score,arf,2.4999999875000003,9.7999999804,privacy
delta-presence.score,ctgan,4.999999983333334,82.99999917000001,privacy
delta-presence.score,ddpm,3.749999990625,3.499999997083333,privacy
delta-presence.score,decaf,1.1205962059468757,2.4218749996215823,privacy
delta-presence.score,dpgan,293.99999706000006,132.99999867000002,privacy
delta-presence.score,pategan,43.249999891875,6.384615379704141,privacy
delta-presence.score,rtvae,74.99999925000002,78.999999605,privacy
delta-presence.score,tvae,6.099999993899999,8.238095234172336,privacy
distinct l-diversity.syn,adsgan,1.00000001,4.00000001,privacy
distinct l-diversity.syn,arf,5.00000001,5.00000001,privacy
distinct l-diversity.syn,ctgan,13.00000001,11.00000001,privacy
distinct l-diversity.syn,ddpm,8.00000001,16.00000001,privacy
distinct l-diversity.syn,decaf,12.00000001,22.00000001,privacy
distinct l-diversity.syn,dpgan,1.00000001,7.00000001,privacy
distinct l-diversity.syn,pategan,1.00000001,6.00000001,privacy
distinct l-diversity.syn,rtvae,1.00000001,2.00000001,privacy
distinct l-diversity.syn,tvae,4.00000001,18.00000001,privacy
k-anonymization.syn,adsgan,1.00000001,4.00000001,privacy
k-anonymization.syn,arf,5.00000001,5.00000001,privacy
k-anonymization.syn,ctgan,13.00000001,11.00000001,privacy
k-anonymization.syn,ddpm,8.00000001,16.00000001,privacy
k-anonymization.syn,decaf,12.00000001,22.00000001,privacy
k-anonymization.syn,dpgan,1.00000001,7.00000001,privacy
k-anonymization.syn,pategan,1.00000001,6.00000001,privacy
k-anonymization.syn,rtvae,1.00000001,2.00000001,privacy
k-anonymization.syn,tvae,4.00000001,18.00000001,privacy
k-map.score,adsgan,5.0,4.0,privacy
k-map.score,arf,2.0,5.0,privacy
k-map.score,ctgan,3.0,1.0,privacy
k-map.score,ddpm,4.0,12.0,privacy
k-map.score,decaf,75.0,64.0,privacy
k-map.score,dpgan,1.0,1.0,privacy
k-map.score,pategan,2.0,8.0,privacy
k-map.score,rtvae,1.0,2.0,privacy
k-map.score,tvae,3.0,11.0,privacy
close_values_probability.score,adsgan,0.965,0.957,sanity
close_values_probability.score,arf,0.999,0.958,sanity
close_values_probability.score,ctgan,0.986,0.953,sanity
close_values_probability.score,ddpm,0.979,0.959,sanity
close_values_probability.score,decaf,0.952,0.918,sanity
close_values_probability.score,dpgan,0.627,0.959,sanity
close_values_probability.score,pategan,0.958,0.959,sanity
close_values_probability.score,rtvae,0.917,0.906,sanity
close_values_probability.score,tvae,0.931,0.939,sanity
nearest_syn_neighbor_distance.mean,adsgan,0.045785446136881,0.0248045593445909,sanity
nearest_syn_neighbor_distance.mean,arf,0.0061220530659055,0.0233417598809413,sanity
nearest_syn_neighbor_distance.mean,ctgan,0.0104251568320464,0.026937458194755,sanity
nearest_syn_neighbor_distance.mean,ddpm,0.0356493789987675,0.0226348371699287,sanity
nearest_syn_neighbor_distance.mean,decaf,0.0752098480300542,0.0645443444968231,sanity
nearest_syn_neighbor_distance.mean,dpgan,0.1529768402378011,0.0283147124386842,sanity
nearest_syn_neighbor_distance.mean,pategan,0.0281530521595033,0.0227676808553537,sanity
nearest_syn_neighbor_distance.mean,rtvae,0.0642146816101846,0.0627749943411901,sanity
nearest_syn_neighbor_distance.mean,tvae,0.0670140533135812,0.0361201837955391,sanity
alpha_precision.authenticity_naive,adsgan,0.549,0.513,stats
alpha_precision.authenticity_naive,arf,0.537,0.507,stats
alpha_precision.authenticity_naive,ctgan,0.573,0.576,stats
alpha_precision.authenticity_naive,ddpm,0.575,0.545,stats
alpha_precision.authenticity_naive,decaf,0.624,0.591,stats
alpha_precision.authenticity_naive,dpgan,1.0,1.0,stats
alpha_precision.authenticity_naive,pategan,0.702,0.651,stats
alpha_precision.authenticity_naive,rtvae,0.652,0.538,stats
alpha_precision.authenticity_naive,tvae,0.55,0.542,stats
chi_squared_test.marginal,adsgan,0.991864939103395,0.8822384630920164,stats
chi_squared_test.marginal,arf,0.9492838864113684,0.8886734039006208,stats
chi_squared_test.marginal,ctgan,0.8496735324559185,0.7914230357403359,stats
chi_squared_test.marginal,ddpm,0.9919132406378997,0.8778846946384995,stats
chi_squared_test.marginal,decaf,0.7015636343555953,0.6549867967199836,stats
chi_squared_test.marginal,dpgan,0.1216598566860766,0.4224824892267457,stats
chi_squared_test.marginal,pategan,0.8215622589642175,0.932966225570578,stats
chi_squared_test.marginal,rtvae,0.5397275240743438,0.8204735906652351,stats
chi_squared_test.marginal,tvae,0.8237109165551748,0.7947698422756052,stats
inv_kl_divergence.marginal,adsgan,0.9879844306473544,0.9365533251538708,stats
inv_kl_divergence.marginal,arf,0.992709856695765,0.9648227302194516,stats
inv_kl_divergence.marginal,ctgan,0.9579471035101496,0.9380012331864598,stats
inv_kl_divergence.marginal,ddpm,0.9655035732475103,0.9426980691642872,stats
inv_kl_divergence.marginal,decaf,0.8432215203797897,0.8211324069760344,stats
inv_kl_divergence.marginal,dpgan,0.3878405213861844,0.6297525602593603,stats
inv_kl_divergence.marginal,pategan,0.8561074577355346,0.9379920508449529,stats
inv_kl_divergence.marginal,rtvae,0.7571987078032055,0.859529011048605,stats
inv_kl_divergence.marginal,tvae,0.9080797112168116,0.9112475424448322,stats
jensenshannon_dist.marginal,adsgan,0.0057278554001575,0.0111292124774793,stats
jensenshannon_dist.marginal,arf,0.0034634086206638,0.0057645037735792,stats
jensenshannon_dist.marginal,ctgan,0.0074937789790164,0.0098466383012948,stats
jensenshannon_dist.marginal,ddpm,0.008961323178289,0.0092647473920973,stats
jensenshannon_dist.marginal,decaf,0.0098113592656993,0.012512218091737,stats
jensenshannon_dist.marginal,dpgan,0.1301334251091117,0.1187733065395934,stats
jensenshannon_dist.marginal,pategan,0.0296142329823126,0.0131532663773133,stats
jensenshannon_dist.marginal,rtvae,0.0304708024696339,0.014378716061202,stats
jensenshannon_dist.marginal,tvae,0.022920117372046,0.0132306170828676,stats
ks_test.marginal,adsgan,0.9657619047619048,0.9287619047619045,stats
ks_test.marginal,arf,0.9778095238095238,0.9636190476190476,stats
ks_test.marginal,ctgan,0.9457142857142856,0.9395714285714286,stats
ks_test.marginal,ddpm,0.9385714285714284,0.9469047619047618,stats
ks_test.marginal,decaf,0.9351428571428572,0.9178571428571428,stats
ks_test.marginal,dpgan,0.2500000000000001,0.3827619047619047,stats
