metric,synthesizer,Orig,PrivGen,metric_category
delta-presence.score,adsgan,3.538461535739645,61.5999998768,privacy
distinct l-diversity.syn,adsgan,256.00000001,67.00000001,privacy
k-anonymization.syn,adsgan,256.00000001,67.00000001,privacy
k-map.score,adsgan,13.0,4.0,privacy
close_values_probability.score,adsgan,0.9984,0.9973883033299132,sanity
nearest_syn_neighbor_distance.mean,adsgan,0.0048536316256767,0.007465831041713,sanity
alpha_precision.authenticity_naive,adsgan,0.9276,0.9972950284488388,stats
chi_squared_test.marginal,adsgan,0.9056679630108828,0.7379235795363884,stats
inv_kl_divergence.marginal,adsgan,0.936650822291475,0.8549283149220055,stats
jensenshannon_dist.marginal,adsgan,0.0102411846114651,0.0193573577261584,stats
ks_test.marginal,adsgan,0.914846153846154,0.8502722909028291,stats
max_mean_discrepancy.joint,adsgan,0.0001498707128241,0.0002029393246903,stats
prdc.coverage,adsgan,0.352,0.4121816994683331,stats
prdc.density,adsgan,0.3212,0.3863445574106893,stats
prdc.precision,adsgan,0.5964,0.6421042813170413,stats
prdc.recall,adsgan,0.9622666666666668,0.945434194571402,stats
wasserstein_dist.joint,adsgan,0.0720571499214749,0.2921341033623378,stats
delta-presence.score,pategan,37.338709671396984,49.99999993749999,privacy
distinct l-diversity.syn,pategan,42.00000001,7.00000001,privacy
k-anonymization.syn,pategan,42.00000001,7.00000001,privacy
k-map.score,pategan,26.0,1.0,privacy
close_values_probability.score,pategan,0.9503333333333334,0.9973883033299132,sanity
nearest_syn_neighbor_distance.mean,pategan,0.0845122928752087,0.0087666461604125,sanity
alpha_precision.authenticity_naive,pategan,0.9719333333333332,0.9986941516649568,stats
chi_squared_test.marginal,pategan,0.8338428536817994,0.6217054530177293,stats
inv_kl_divergence.marginal,pategan,0.7183359871331926,0.711206329701242,stats
jensenshannon_dist.marginal,pategan,0.0364311292304133,0.0355706731037766,stats
ks_test.marginal,pategan,0.676579487179487,0.6908726941373151,stats
max_mean_discrepancy.joint,pategan,0.0001809499310518,0.0002066225633875,stats
prdc.coverage,pategan,0.0951333333333333,0.1636041414047197,stats
prdc.density,pategan,0.1608,0.2704038802350527,stats
prdc.precision,pategan,0.3554666666666666,0.4392314149799459,stats
prdc.recall,pategan,0.9586666666666668,0.9481391661225632,stats
wasserstein_dist.joint,pategan,0.3234068358354158,0.4841466606473478,stats
delta-presence.score,dpgan,39.23728812894283,7.314285713867755,privacy
distinct l-diversity.syn,dpgan,110.00000001,74.00000001,privacy
k-anonymization.syn,dpgan,110.00000001,74.00000001,privacy
k-map.score,dpgan,59.0,74.0,privacy
close_values_probability.score,dpgan,0.2642666666666666,0.9991605260703292,sanity
nearest_syn_neighbor_distance.mean,dpgan,0.291991651930166,0.0324894019791869,sanity
alpha_precision.authenticity_naive,dpgan,0.9996666666666668,0.9995336255946272,stats
chi_squared_test.marginal,dpgan,0.4848410057526923,0.44137366632927,stats
inv_kl_divergence.marginal,dpgan,0.5858024992794101,0.5695958761943141,stats
jensenshannon_dist.marginal,dpgan,0.0815003647210866,0.0851305508553277,stats
ks_test.marginal,dpgan,0.4497641025641025,0.4429193602778156,stats
max_mean_discrepancy.joint,dpgan,0.0001519307512347,0.0002029520096366,stats
prdc.coverage,dpgan,0.0978666666666666,0.131424307434008,stats
prdc.density,dpgan,0.5811733333333334,0.1226378136367876,stats
prdc.precision,dpgan,0.7985333333333333,0.2544538755713086,stats
prdc.recall,dpgan,0.9544,0.8144762615427665,stats
wasserstein_dist.joint,dpgan,1.5455771777699625,1.8717708150502697,stats
delta-presence.score,decaf,130.1999997396,1115.9999888400002,privacy
distinct l-diversity.syn,decaf,36.00000001,8.00000001,privacy
k-anonymization.syn,decaf,36.00000001,8.00000001,privacy
k-map.score,decaf,5.0,1.0,privacy
close_values_probability.score,decaf,0.9958666666666668,0.933215185150639,sanity
nearest_syn_neighbor_distance.mean,decaf,0.0256310073743885,0.0411563283327319,sanity
alpha_precision.authenticity_naive,decaf,0.9377333333333332,0.9991605260703292,stats
chi_squared_test.marginal,decaf,0.7534841418739191,0.6100900552446391,stats
inv_kl_divergence.marginal,decaf,0.9240295261527198,0.7689694625137395,stats
jensenshannon_dist.marginal,decaf,0.0082485890850426,0.0230998512945253,stats
ks_test.marginal,decaf,0.9218564102564102,0.8253176727199674,stats
max_mean_discrepancy.joint,decaf,0.0001498707131379,0.0002029393252083,stats
prdc.coverage,decaf,0.1516666666666666,0.1494263594813916,stats
prdc.density,decaf,0.27116,0.3214065852066039,stats
prdc.precision,decaf,0.49,0.5722413953922209,stats
prdc.recall,decaf,0.5248666666666667,0.5118925473370022,stats
wasserstein_dist.joint,decaf,0.0894882712011105,0.344445813180058,stats
delta-presence.score,ctgan,5.7499999928125,42.7999999144,privacy
distinct l-diversity.syn,ctgan,217.00000001,74.00000001,privacy
