Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 1,marginally,0.008528080378393348,0.028201362716584865
sanity.close_values_probability.score,results 1,marginally,0.9927272727272727,0.9545454545454546
sanity.distant_values_probability.score,results 1,marginally,0.0027272727272727275,0.012572533849129593
stats.jensenshannon_dist.marginal,results 1,marginally,0.003107918669772777,0.0038227139780429888
stats.chi_squared_test.marginal,results 1,by far,0.9999408455999281,0.7499951347744388
stats.inv_kl_divergence.marginal,results 1,by far,0.9899629296500672,0.8714847852634607
stats.ks_test.marginal,results 2,marginally,0.9661363636363636,0.9714700193423598
stats.max_mean_discrepancy.joint,results 1,marginally,0.001816837073056122,0.0019334602525824546
stats.wasserstein_dist.joint,results 1,marginally,0.0032021960942784497,0.006341150298819891
stats.prdc.precision,results 2,marginally,1.0,1.0
stats.prdc.recall,results 1,by far,1.0,0.9381044487427466
stats.prdc.density,results 1,marginally,1.0110909090909093,0.9750483558994198
stats.prdc.coverage,results 1,marginally,0.9581818181818181,0.9158607350096711
stats.alpha_precision.delta_precision_alpha_OC,results 1,marginally,0.9808526645768025,0.9361590964672403
stats.alpha_precision.delta_coverage_beta_OC,results 2,marginally,0.4926060606060606,0.5267569310122502
stats.alpha_precision.authenticity_OC,results 1,marginally,0.5127272727272727,0.49032882011605416
stats.alpha_precision.delta_precision_alpha_naive,results 2,marginally,0.9601086729362591,0.98098223615465
stats.alpha_precision.delta_coverage_beta_naive,results 2,marginally,0.7159393939393939,0.7447453255963894
stats.alpha_precision.authenticity_naive,results 2,marginally,0.29,0.30464216634429403
performance.linear_model.syn_id,results 1,marginally,0.01684998259179164,-0.0012129366034616302
performance.linear_model.syn_ood,results 1,marginally,-0.030387037644766357,-0.04747508341133311
performance.mlp.syn_id,results 2,by far,-3.9198131561279297,-3.676199118296305
performance.mlp.syn_ood,results 1,by far,-3.090919017791748,-3.785794734954834
performance.xgb.syn_id,results 2,by far,-0.15971090396245322,-0.006601492563883464
performance.xgb.syn_ood,results 2,by far,-0.257229208946228,0.030465245246887207
performance.feat_rank_distance.corr,results 2,marginally,1.0,1.0
performance.feat_rank_distance.pvalue,results 2,marginally,0.3333333333333333,0.3333333333333333
detection.detection_xgb.mean,results 1,marginally,0.490441743004234,0.5176938839309702
detection.detection_mlp.mean,results 2,marginally,0.5,0.5
detection.detection_gmm.mean,results 2,marginally,0.5101582055164497,0.5084396884245216
detection.detection_linear.mean,results 1,marginally,0.4906063839085497,0.508808772503985
privacy.delta-presence.score,results 1,by far,3.99999999,1.3448275859750296
privacy.k-anonymization.syn,results 2,by far,4.00000001,45.00000001
privacy.k-map.score,results 2,by far,4.0,58.0
privacy.distinct l-diversity.syn,results 2,by far,4.00000001,45.00000001
privacy.identifiability_score.score,results 2,marginally,0.5009090909090909,0.49709864603481624
privacy.identifiability_score.score_OC,results 1,marginally,0.4890909090909091,0.5058027079303675
