Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,by far,0.9999999999909092,0.9390715667220594
sanity.nearest_syn_neighbor_distance.mean,results 1,marginally,0.0,0.027927539762652658
sanity.close_values_probability.score,results 1,marginally,1.0,0.9545454545454546
sanity.distant_values_probability.score,results 1,marginally,0.0,0.012572533849129593
stats.jensenshannon_dist.marginal,results 1,marginally,0.0,0.0017713670624508974
stats.chi_squared_test.marginal,results 1,by far,1.0,0.7499853486707988
stats.inv_kl_divergence.marginal,results 1,by far,1.0,0.8743360916421592
stats.ks_test.marginal,results 1,marginally,1.0,0.9813829787234043
stats.max_mean_discrepancy.joint,results 1,marginally,2.168404344971009e-19,0.00011784996763802478
stats.wasserstein_dist.joint,results 1,marginally,-8.121659910255677e-20,0.005668397681510027
stats.prdc.precision,results 2,marginally,1.0,1.0
stats.prdc.recall,results 1,by far,1.0,0.9400386847195358
stats.prdc.density,results 1,marginally,1.0,0.9953578336557061
stats.prdc.coverage,results 1,by far,1.0,0.9439071566731141
stats.alpha_precision.delta_precision_alpha_OC,results 1,marginally,0.9994587251828632,0.9508059316569955
stats.alpha_precision.delta_coverage_beta_OC,results 1,marginally,0.9994587251828632,0.9936881655883857
stats.alpha_precision.authenticity_OC,results 2,by far,0.0,0.0609284332688588
stats.alpha_precision.delta_precision_alpha_naive,results 1,marginally,0.9989508881922675,0.9966228684497209
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.9989508881922675,0.9967540407745837
stats.alpha_precision.authenticity_naive,results 2,marginally,0.0,0.02321083172147002
performance.linear_model.syn_id,results 1,marginally,0.03433101787631143,-0.00973181274104514
performance.linear_model.syn_ood,results 1,marginally,-0.022054933469240368,-0.05853208624621686
performance.mlp.syn_id,results 2,by far,-3.9197734196980796,-3.676234245300293
performance.mlp.syn_ood,results 1,by far,-3.090888023376465,-3.785830497741699
performance.xgb.syn_id,results 1,by far,0.7061305443445841,0.10409875710805257
performance.xgb.syn_ood,results 1,by far,0.7009705901145935,0.10846614837646484
performance.feat_rank_distance.corr,results 2,marginally,1.0,1.0
performance.feat_rank_distance.pvalue,results 2,marginally,0.3333333333333333,0.3333333333333333
detection.detection_xgb.mean,results 1,by far,0.09068667614380514,0.1699620951236549
detection.detection_mlp.mean,results 2,marginally,0.5,0.5
detection.detection_gmm.mean,results 1,marginally,0.5250628916286012,0.5269028842224208
detection.detection_linear.mean,results 1,by far,0.45753458473268127,0.5160266351769627
privacy.delta-presence.score,results 2,marginally,0.9999999999904581,1.0370370369090078
privacy.k-anonymization.syn,results 2,by far,5.00000001,43.00000001
privacy.k-map.score,results 2,by far,7.0,80.0
privacy.distinct l-diversity.syn,results 2,by far,5.00000001,43.00000001
privacy.identifiability_score.score,results 2,by far,1.0,0.9390715667311412
privacy.identifiability_score.score_OC,results 2,by far,1.0,0.9390715667311412
