Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,by far,0.1728039405211804,0.028165934127275638
sanity.close_values_probability.score,results 2,by far,0.6927272727272727,0.9545454545454546
sanity.distant_values_probability.score,results 1,marginally,0.008181818181818182,0.012572533849129593
stats.jensenshannon_dist.marginal,results 2,marginally,0.01389103921148967,0.005564212003198124
stats.chi_squared_test.marginal,results 1,by far,0.9969537297330675,0.7499804717570504
stats.inv_kl_divergence.marginal,results 1,marginally,0.8756542251029742,0.8676663038787459
stats.ks_test.marginal,results 2,by far,0.8256818181818182,0.9617988394584139
stats.max_mean_discrepancy.joint,results 1,marginally,0.0018182691290689688,0.001933857398705676
stats.wasserstein_dist.joint,results 2,by far,0.062293964193306364,0.0076633755202742
stats.prdc.precision,results 1,marginally,1.0,0.9990328820116054
stats.prdc.recall,results 1,by far,1.0,0.9390715667311412
stats.prdc.density,results 1,by far,1.0185454545454546,0.9599613152804642
stats.prdc.coverage,results 2,by far,0.7363636363636363,0.8936170212765957
stats.alpha_precision.delta_precision_alpha_OC,results 2,by far,0.5018787878787878,0.9402343315769581
stats.alpha_precision.delta_coverage_beta_OC,results 2,by far,0.187030303030303,0.3526112185686653
stats.alpha_precision.authenticity_OC,results 1,by far,0.8109090909090909,0.6083172147001934
stats.alpha_precision.delta_precision_alpha_naive,results 2,marginally,0.9827398119122257,0.9834011427555082
stats.alpha_precision.delta_coverage_beta_naive,results 2,marginally,0.7161818181818183,0.7238555770470665
stats.alpha_precision.authenticity_naive,results 2,marginally,0.31,0.33849129593810445
performance.linear_model.syn_id,results 2,by far,-4.912563339178609,-0.029315827600982836
performance.linear_model.syn_ood,results 2,by far,-3.3303537593894728,-0.031915932530279134
performance.mlp.syn_id,results 2,by far,-3.9196160634358725,-3.676300843556722
performance.mlp.syn_ood,results 1,by far,-3.0907745361328125,-3.7858967781066895
performance.xgb.syn_id,results 2,by far,-7.5988396008809405,-0.2290511131286621
performance.xgb.syn_ood,results 2,by far,-4.472987651824951,-0.30074286460876465
performance.feat_rank_distance.corr,results 2,marginally,1.0,1.0
performance.feat_rank_distance.pvalue,results 2,marginally,0.3333333333333333,0.3333333333333333
detection.detection_xgb.mean,results 2,by far,0.8907000537878118,0.791754289128888
detection.detection_mlp.mean,results 2,marginally,0.5,0.5
detection.detection_gmm.mean,results 2,by far,0.7999813264750865,0.5209033914118101
detection.detection_linear.mean,results 2,by far,0.7992415327539754,0.5169132111845437
privacy.delta-presence.score,results 1,by far,4.999999998717948,1.3644067795453894
privacy.k-anonymization.syn,results 1,by far,50.00000001,49.00000001
privacy.k-map.score,results 2,by far,22.0,91.0
privacy.distinct l-diversity.syn,results 1,by far,50.00000001,49.00000001
privacy.identifiability_score.score,results 1,by far,0.23272727272727273,0.43617021276595747
privacy.identifiability_score.score_OC,results 1,by far,0.1709090909090909,0.3346228239845261
