Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.08215906448550996,0.05402819512829533
sanity.close_values_probability.score,results 2,marginally,0.9481818181818182,0.9497098646034816
sanity.distant_values_probability.score,results 1,marginally,0.007272727272727273,0.012572533849129593
stats.jensenshannon_dist.marginal,results 1,marginally,0.017316891480477846,0.017319940603310918
stats.chi_squared_test.marginal,results 2,marginally,0.4999759589275971,0.49999928668696436
stats.inv_kl_divergence.marginal,results 1,marginally,0.5592909579438833,0.5578229046625427
stats.ks_test.marginal,results 1,marginally,0.8884090909090909,0.8844294003868471
stats.max_mean_discrepancy.joint,results 2,marginally,0.010180513806079863,0.009103720413139072
stats.wasserstein_dist.joint,results 1,marginally,0.007000639612108074,0.010726090675886868
stats.prdc.precision,results 2,marginally,1.0,1.0
stats.prdc.recall,results 2,by far,0.0,0.05899419729206963
stats.prdc.density,results 1,by far,1.046,0.844294003868472
stats.prdc.coverage,results 2,marginally,0.02090909090909091,0.02127659574468085
stats.alpha_precision.delta_precision_alpha_OC,results 2,marginally,0.857753396029258,0.8697414348918384
stats.alpha_precision.delta_coverage_beta_OC,results 2,marginally,0.014606060606060844,0.031205673758865293
stats.alpha_precision.authenticity_OC,results 1,marginally,0.9790909090909091,0.9680851063829787
stats.alpha_precision.delta_precision_alpha_naive,results 1,marginally,0.9610365726227795,0.9373352008715178
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.13163636363636377,0.11734364925854279
stats.alpha_precision.authenticity_naive,results 1,marginally,0.8763636363636363,0.8607350096711799
performance.linear_model.syn_id,results 1,marginally,-0.015417618468891522,-0.02732097882031807
performance.linear_model.syn_ood,results 1,marginally,-0.007333861896115179,-0.03624568613065593
performance.mlp.syn_id,results 2,by far,-3.9199719429016113,-3.676562468210856
performance.mlp.syn_ood,results 1,by far,-3.091033458709717,-3.786163330078125
performance.xgb.syn_id,results 1,marginally,-0.032702863216400146,-0.03272549311319987
performance.xgb.syn_ood,results 1,marginally,-0.026833534240722656,-0.06147336959838867
performance.feat_rank_distance.corr,results 1,by far,0.33333333333333337,1.0
performance.feat_rank_distance.pvalue,results 2,by far,1.0,0.3333333333333333
detection.detection_xgb.mean,results 2,marginally,0.9999975251629062,0.9999775957431911
detection.detection_mlp.mean,results 2,marginally,0.5,0.5
detection.detection_gmm.mean,results 2,by far,0.5845034072353499,0.48343754324949645
detection.detection_linear.mean,results 1,marginally,0.48617019784672677,0.5275664434382068
privacy.delta-presence.score,results 1,by far,1.6562499999260603,1.0096774193222684
privacy.k-anonymization.syn,results 1,by far,15.00000001,1.00000001
privacy.k-map.score,results 2,by far,66.0,144.0
privacy.distinct l-diversity.syn,results 1,by far,15.00000001,1.00000001
privacy.identifiability_score.score,results 1,marginally,0.004545454545454545,0.006769825918762089
privacy.identifiability_score.score_OC,results 1,marginally,0.012727272727272728,0.02804642166344294
